title|overall_price|area|number_of_rooms|floor|type_of_market|parking|elevator|year_of_creation|internet|type_of_building|basement|price_for_m2_in_PLN|balcony|garden|terrace|street|district|city|latitude|longtitude
Oaza w Mieście-Przestronne Mieszkanie z Ogrodem|1049000.0|78.8|3|0.0|secondary|1|0|1932.0|0.0|Mieszkanie|0.0|13312.18|0|1|0|leona wyczółkowskiego|siedlce|gdansk|54.353591|18.626091
"""Klucze do szczęścia - Twoje wymarzone mieszkanie"|540000.0|43.9|2|3.0|secondary|1|0|1969.0|1.0|Mieszkanie|1.0|12300.68|1|0|0|kartuska 45-59|chylonia|gdynia|54.538533|18.458974
"Ogrody Diany |Hery 7/38"|530000.0|47.25|2|0.0|primary|1|1|2025.0|1.0|Mieszkanie|1.0|11216.93|0|1|0|diany|osowa|gdansk|54.430298|18.470018
Widna kuchnia_dwie łazienki_duży balkon_widokowe|544945.0|59.24|4|1.0|primary|1|1|2024.0|1.0|Mieszkanie|0.0|9198.94|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Narożne_słoneczne_szybki odbiór_wc i łazienka|498153.0|51.71|3|3.0|primary|1|1|2024.0|1.0|Mieszkanie|0.0|9633.59|1|0|0|starogardzka|orunia górna - gdańsk południe|gdansk|54.321794|18.617544
1-pokojowe mieszkanie 33m2 + ogródek Bez Prowizji|399900.0|33.41|1|0.0||1|0|||||11969.47|0|1|0|władysława czermińskiego|jasień|gdansk|54.340089|18.560014
lokal INWESTYCYJNIE >30m2 cenaBrutto ODLICZ VAT23%|542299.0|37.21|2|2.0|primary|1|1||0.0|Mieszkanie|0.0|14574.01|1|0|0||śródmieście|gdansk|54.34902|18.6518
4-pokojowe mieszkanie 74m2 + ogródek Bezpośrednio|853384.0|74.56|4|0.0||1|0|||||11445.6|0|1|1|starowiejska/sucha|letnica|gdansk|54.394982|18.646767
ENERGOOSZCZĘDNE Mieszkanie 90 m2,|389000.0|90.0|4|0.0|primary|0|0||0.0|wolnostojący|0.0|4322.22|0|0|0||orunia-św. wojciech-lipce|gdansk|54.15552|18.652661
5-pokojowe mieszkanie 86m2 + balkon Bezpośrednio|1216611.0|86.67|5|1.0||1|0|||||14037.28|1|0|0|jaśkowa dolina 85|wrzeszcz górny|gdansk|54.34902|18.6518
4-pokojowe mieszkanie 76m2 + balkon|1033977.0|76.89|4|4.0||1|0|||||13447.48|1|0|0|jaśkowa dolina 85|wrzeszcz górny|gdansk|54.34902|18.6518
3-pokojowe mieszkanie 52m2 + balkon Bezpośrednio|831032.0|52.97|3|4.0||1|0|||||15688.73|1|0|0|jaśkowa dolina 85|wrzeszcz górny|gdansk|54.34902|18.6518
2-pokojowe mieszkanie 62m2 + balkon Bez Prowizji|1006673.0|62.86|2|3.0||1|0|||||16014.52|1|0|0|jaśkowa dolina 85|wrzeszcz górny|gdansk|54.34902|18.6518
Mieszkanie - Gdańsk Zaspa|668000.0|48.2|2|2.0|secondary|0|1|1970.0|0.0|Mieszkanie|0.0|13858.92|1|0|0|kombatantów|zaspa|gdansk|54.397681|18.609269
Przestronne, dwupoziomowe mieszkanie|890000.0|89.92|4|3.0|secondary|0|0|2001.0|1.0|Mieszkanie|1.0|9897.69|1|0|0|oliwkowa|dąbrowa|gdynia|54.47118|18.470508
Mieszkanie - Gdańsk Morena|539000.0|42.0|2|0.0|secondary|0|0|1975.0|0.0|Mieszkanie|1.0|12833.33|1|0|0|karola kurpińskiego|suchanino|gdansk|52.17628|21.029665
NAJTAŃSZE oferty na rynku 12min od Gdańsk Główny|366050.0|33.0|2|0.0|primary|1|1|2024.0|1.0|Mieszkanie|0.0|11092.42|0|1|1||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
NOWOŚĆ,GdańskOsowa 3pok.budynek energooszczędnyM49|573000.0|46.17|3|3.0|primary|1|1|2025.0|1.0|Mieszkanie|1.0|12410.66|1|0|0|kielnieńska|osowa|gdansk|54.430298|18.470018
NIE przegap ofert PROMOCYJNYCH_nowa PKM_bus_lidl|480500.0|50.8|3|0.0|primary|1|1|2024.0|1.0|Mieszkanie|0.0|9458.66|0|1|1||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
ODBIERZ 3pok_M.Postojowe za 0 zł +DOD bonus 26+27|521600.0|54.35|3|1.0|primary|1|1|2024.0|1.0|Mieszkanie|0.0|9597.06|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
395 270 Netto_5min Wyspa Spichrzów_+BONUS 26-27.04|486185.0|30.9|2|0.0|primary|1|1|2024.0|1.0|Mieszkanie|0.0|15734.14|0|1|1||śródmieście|gdansk|54.34902|18.6518
Stylowy Apartament/studio/Gotowiec Inwestycyjny|569000.0|30.0|1|4.0|secondary|0|0|2021.0|1.0|Mieszkanie|0.0|18966.67|0|0|0|wałowa|śródmieście|gdansk|54.3463466|18.6662024
Browar Gdański apartament dwupokojowy|1100000.0|43.92|2|3.0|secondary|1|0|2018.0|0.0|Mieszkanie|1.0|25045.54|1|0|0|joachima lelewela|wrzeszcz dolny|gdansk|54.383786|18.610604
lokal INWESTYCYJNIE >25m2 cenaBrutto ODLICZ VAT23%|480186.0|30.9|2|2.0|primary|1|1||0.0|Mieszkanie|0.0|15540.0|1|0|0||śródmieście|gdansk|54.34902|18.6518
3 pokojowe Mieszkanie Gdynia ul.Nowodworcowa|638435.0|53.65|3|0.0|primary|1|1|2024.0|0.0|Mieszkanie|0.0|11900.0|0|1|1|nowodworcowa|wielki kack|gdynia|54.467664|18.492842
2pok. Mieszkanie Gdynia WielkiKack ul.Nowodworcowa|593400.0|46.0|2|0.0|primary|1|1|2024.0|0.0|Mieszkanie|1.0|12900.0|0|0|1|nowodworcowa|wielki kack|gdynia|54.467664|18.492842
Quercus - B2.127|460925.0|39.0|2|5.0|primary|0|1|2025.0|0.0||0.0|11818.59|0|0|0|wielkopolska|ujeścisko-łostowice|gdansk|54.31911|18.591801
Quercus - B2.74|473285.0|44.0|2|1.0|primary|0|1|2025.0|0.0||0.0|10756.48|0|0|0|wielkopolska|ujeścisko-łostowice|gdansk|54.31911|18.591801
Piękne 3 pokoje Gdynia Mały Kack - Astoria II.|1615000.0|75.0|3|1.0|secondary|1|0||0.0||0.0|21533.33|1|0|0|strzelców|mały kack|gdynia|54.475281|18.504812
4-pokojowe mieszkanie 93m2 + balkon Bezpośrednio|936577.0|93.28|4|1.0||1|0|||||10040.49|1|0|0|janki bryla|chwarzno-wiczlino|gdynia|54.490386|18.423491
3 pokoje na Morenie/blisko centrum/blisko lasu|759000.0|58.67|3|1.0|secondary|1|1|2010.0|0.0|Mieszkanie|1.0|12936.76|1|0|0|myśliwskie wzgórze/os. klimaty|piecki-migowo|gdansk|54.348106|18.562501
2-pokojowe mieszkanie 83m2 + taras Bez Prowizji|1928819.0|83.61|2|3.0||1|0|||||23069.24|0|0|1|jałmużnicza|śródmieście|gdansk|54.340912|18.656229
1-pokojowe mieszkanie 88m2 Bezpośrednio|1988898.0|88.84|1|0.0||1|0|||||22387.42|0|0|0|jałmużnicza|śródmieście|gdansk|54.340912|18.656229
3 pokoje po generalnym remoncie - 2 ogródki !!!|649000.0|50.5|3|0.0|secondary|0|0|2002.0|1.0|Mieszkanie|0.0|12851.49|0|0|0|władysława kańskiego|chwarzno-wiczlino|gdynia|54.490386|18.423491
Gdańsk Piastowska piękne 3-pokojowe po remoncie|750000.0|54.0|3|0.0|secondary|0|0|1965.0|1.0|Mieszkanie|1.0|13888.89|0|0|0|piastowska|przymorze|gdansk|54.354195|18.650385
"Mieszkanie z ładnym widokiem | Wielki Kack"|1200000.0|98.45|3|1.0|secondary|0|0|2005.0|0.0||0.0|12188.93|0|0|0|waleriana szefki|wielki kack|gdynia|54.465869|18.486889
Gdańsk- 3 pok. 52,52 mkw, ul. Słowackiego|649000.0|52.25|3|4.0|secondary|1|0|1976.0|1.0|Mieszkanie|1.0|12421.05|1|0|0|juliusza słowackiego|wrzeszcz górny|gdansk|54.381217|18.59427
4-pokojowe mieszkanie 65m2 + ogródek Bezpośrednio|819900.0|65.57|4|0.0||1|0|||||12504.19|0|1|1|zakole|stogi|gdansk|54.362472|18.709969
2-pokojowe mieszkanie 32m2 + balkon|529900.0|32.68|2|2.0||1|0|||||16214.81|1|0|0|zakole|stogi|gdansk|54.362472|18.709969
2-pokojowe mieszkanie 42m2 + balkon|524000.0|42.67|2|2.0||1|0|||||12280.29|1|0|0|kampinoska|ujeścisko-łostowice|gdansk|54.31911|18.591801
2 pokoje/ Przymorze/ przy Parku Reagana|629000.0|45.0|2|3.0|secondary|1|0|1970.0|1.0|Mieszkanie|1.0|13977.78|1|0|0|chłopska|przymorze|gdansk|54.354195|18.650385
"Apartament nadmorski - ""Nadmorze"" Invest Komfort"|2181000.0|78.71|3|4.0|secondary|1|1|2018.0|0.0|Mieszkanie|0.0|27709.31|1|0|0|ignacego krasickiego|brzeźno|gdansk|54.254613|18.635465
