title|overall_price|area|number_of_rooms|floor|type_of_market|parking|elevator|year_of_creation|internet|type_of_building|basement|price_for_m2_in_PLN|balcony|garden|terrace|street|district|city|latitude|longtitude
Przedmiejski Bungalow|2349928.0|203.0|4||secondary|1|0|2003.0|0.0|Dom wolnostojący|0.0|11576.0|0|1|0| niepołomicka|ujeścisko-łostowice|gdansk|54.31911|18.591801
Trzypokojowe mieszkanie na Śląskiej|1053031.05|77.23|3|1.0|secondary|0|0|1938.0|1.0|Mieszkanie|1.0|13635.0|0|0|0| śląska|działki leśne|gdynia|54.514401|18.53274
Z widokiem na Zatokę|499004.25|32.25|2|10.0|secondary|1|1|2023.0|0.0|Mieszkanie|0.0|15473.0|0|0|0| starowiejska|letnica|gdansk|54.394982|18.646767
Innowacyjne mieszkanie w prestiżowej lokalizacji|209887.6|72.4|4|3.0|secondary|0|0|2020.0|0.0|Mieszkanie|0.0|2899.0|0|0|0| opacka|oliwa|gdansk|54.412443|18.558847
Apartament w Gdyni 7 km od plaży miejskiej|777007.66|54.34|3|3.0|secondary|0|0|2021.0|0.0|Mieszkanie|0.0|14299.0|0|0|0| chylońska|chylonia|gdynia|54.545155|18.460712
Sopot  ul. Kolberga  atrakcyjna lokalizacja|679985.0|41.0|2|4.0|secondary|0|1|1976.0|0.0|Mieszkanie|1.0|16585.0|0|0|0| oskara kolberga|brodwino|sopot|54.457739|18.535432
Obok Politech. Gdańskiej i Akadem. Med. taras ogród|1099980.0|70.0|3|2.0|secondary|0|0|1918.0|0.0|Mieszkanie|0.0|15714.0|0|0|0| null|wrzeszcz|gdansk|54.381786|18.606236
Przestrzeń domu  i ogrodu=wolność w mieście!|1798998.0|206.0|7||secondary|1|0|1995.0|0.0|Dom wolnostojący|1.0|8733.0|1|0|0| izydy|chwarzno-wiczlino|gdynia|54.503909|18.454647
3 pokoje na Dąbrowie|424965.45|63.57|3|0.0|secondary|0|0|2000.0|0.0|Mieszkanie|0.0|6685.0|0|0|0| lubczykowa|dąbrowa|gdynia|54.473807|18.470299
Kawalerka 800m od morza!|42992.52|25.53|1|1.0|secondary|1|0|1980.0|1.0|Mieszkanie|0.0|1684.0|0|0|0| dworska|brzeźno|gdansk|54.405621|18.629799
Gdańsk Oliwa-3-pok ul.Leśna|1399991.56|79.64|3|3.0|secondary|1|0|1914.0|0.0|Mieszkanie|1.0|17579.0|0|0|0| leśna|oliwa|gdansk|54.407495|18.556622
Ciche mieszkanie, na nowoczesnym osiedlu|1994997.0|69.0|2|2.0|secondary|1|1|2011.0|1.0|Mieszkanie|0.0|28913.0|1|0|0| armii krajowej|górny sopot|sopot|54.440065|18.556977
Atrakcyjna Inwestycja w Sercu Śródmieścia|659000.0|40.0|2|2.0|secondary|1|0|1950.0|0.0|Mieszkanie|0.0|16475.0|1|0|0| łagiewniki|śródmieście|gdansk|54.357906|18.650396
Dom szeregowy blisko lasu i PKM|1990031.4|180.6|5||secondary|1|0|1998.0|1.0|Dom szeregowy|0.0|11019.0|1|1|0| władysława jagiełły|mały kack|gdynia|54.473463|18.507635
*Bezpośrednio Przy Pięknym Parku|1155000.0|70.0|3|1.0|secondary|0|0|1997.0|0.0|Mieszkanie|0.0|16500.0|0|0|0| jacka malczewskiego|siedlce|gdansk|54.348542|18.624595
Gotowiec inwestycyjny!Świetna lokalizacja!|574992.0|54.0|3|1.0|secondary|0|0|1970.0|0.0|Mieszkanie|0.0|10648.0|1|0|0| gniewska|chylonia|gdynia|54.540985|18.466615
Przestronny, słoneczny apartament - Riverview|1949981.4|87.4|3|0.0|secondary|0|1|2020.0|0.0|Mieszkanie|0.0|22311.0|1|0|0| angielska grobla|śródmieście|gdansk|54.347715|18.664475
2-pok.mieszkanie z tarasem blisko morza|974984.0|53.5|2|2.0|secondary|1|0|1930.0|1.0|Mieszkanie|1.0|18224.0|1|1|0| bitwy pod płowcami|karlikowo|sopot|54.433864|18.58015
Na sprzedaż przestronne mieszkanie w Gdyni Obłuże|76479.0|111.0|4|1.0|secondary|1|0|1997.0|1.0|Mieszkanie|1.0|689.0|1|0|0| jantarowa|obłuże|gdynia|54.554964|18.510498
Mieszkanie - Gdynia Mały Kack|62500.0|5.0|3|4.0|secondary|1|1|2024.0|1.0|Mieszkanie|0.0|12500.0|1|0|0| nowodworcowa|wielki kack|gdynia|54.467664|18.492842
Bliźniak w Sopocie|2500008.0|80.5|4||secondary|0|0|1927.0|0.0|Dom bliźniak|0.0|31056.0|0|0|0| armii krajowej|górny sopot|sopot|54.440065|18.556977
Mieszkanie 80m2 3pok udzial 1/2 domu garaz ogrodek bezczynszowe|819040.0|80.0|3|1.0|secondary|1|0|1998.0|0.0|Mieszkanie|1.0|10238.0|0|1|0| spokojna|mały kack|gdynia|54.472105|18.519848
3 pok eleganckie mieszkanie w świetnej lokalizacji|1950024.0|74.4|3|1.0|secondary|1|0|2007.0|0.0|Mieszkanie|0.0|26210.0|0|0|0| bernadowska|orłowo|gdynia|54.475629|18.552093
Mieszkanie - Sopot Centrum|698004.0|54.0|2|1.0|secondary|0|0|1905.0|1.0|Mieszkanie|1.0|12926.0|1|0|0| czyżewskiego józefa|dolny sopot|sopot|54.4409635|18.561271
Dom bliźniak w rewelacyjnej lokalizacji.|160976.85|112.65|5||secondary|1|0|1970.0|0.0|Dom bliźniak|1.0|1429.0|1|1|0| legionów|wzgórze św. maksymiliana|gdynia|54.50296|18.542419
Klimatyczny dom Gdańsk Przymorze|2498910.0|186.0|5||secondary|1|0|1920.0|0.0|Dom wolnostojący|1.0|13435.0|0|1|0| bora-komorowskiego 97|przymorze|gdansk|54.409165|18.580825
Nowe wykończone 3 pokoje   Perspektywa Eurostyl|1299965.44|72.64|3|2.0|secondary|1|1|2022.0|1.0|Mieszkanie|0.0|17896.0|1|0|0| powstańców warszawskich|siedlce|gdansk|54.358662|18.624713
Na sprzedaż parter domu - Gdynia Grabówek|900000.0|120.0|3||secondary|0|0|1962.0|0.0|Dom wolnostojący|0.0|7500.0|0|0|0| falista|grabówek|gdynia|54.52161|18.519251
Gdynia 2- pokojowe Śródmieście Piłsudskiego|826025.76|57.76|2|1.0|secondary|1|1|1952.0|1.0|Mieszkanie|1.0|14301.0|0|0|0| piłsudskiego józefa|śródmieście|gdynia|54.5198415|18.538188
3 pokoje, z ogródkiem, urokliwa, zielona okolica!|762109.2000000001|55.6|3|0.0|secondary|1|1|2023.0|0.0|Mieszkanie|0.0|13707.0|0|0|1| życzliwa 12|jasień|gdansk|54.34421|18.530231
Kameralna zabudowa   Słoneczne mieszkanie|515486.72|52.99|2|1.0|secondary|1|0|2023.0|0.0|Mieszkanie|0.0|9728.0|1|0|0| zeusa|ujeścisko-łostowice|gdansk|54.304161|18.569313
Sprzedam 4-pokojowe Mieszkanie Gdańsk Suchanino|638001.0|63.0|4|3.0|secondary|0|0|1975.0|0.0|Mieszkanie|1.0|10127.0|1|0|0| null|suchanino|gdansk|54.355805|18.607162
Kamienica śródmieście 3 pokoje 75,65 m2  piwnica|895015.15|75.65|3|1.0|secondary|0|0|1932.0|1.0|Mieszkanie|1.0|11831.0|0|0|0| bernarda chrzanowskiego|śródmieście|gdynia|54.528796|18.542842
Mieszkanie 4 pokoje, piękny widok, wysoki standard|1249989.12|86.04|4|5.0|secondary|1|1|2022.0|1.0|Mieszkanie|0.0|14528.0|0|0|0| życzliwa|jasień|gdansk|54.340089|18.560014
Oryginalne Mieszkanie W Prestiżowej Lokalizacji|3399971.2|84.8|4|1.0|secondary|1|0|1910.0|1.0|Mieszkanie|1.0|40094.0|0|1|0| floriana ceynowy|oliwa|gdansk|54.410373|18.568695
2-pokojowe mieszkanie w centrum, balkon 5 m2, osobna kuchnia. Gdańsk, Dolne Miasto!|594990.0|33.0|2|2.0|secondary|0|0|1980.0|1.0|Mieszkanie|0.0|18030.0|0|0|0| jałmużnicza|śródmieście|gdansk|54.351229|18.64977
3 Pokojowy Apartament blisko morza|1019008.95|64.23|3|1.0|secondary|1|1|2022.0|0.0|Mieszkanie|0.0|15865.0|1|0|0| starowiejska|letnica|gdansk|54.394982|18.646767
Mieszkanie - Gdańsk Śródmieście|71679.3|31.9|1|2.0|secondary|0|0|1911.0|0.0|Mieszkanie|0.0|2247.0|0|0|0| lawendowa|śródmieście|gdansk|54.352513|18.652706
Dom mieszkalny - 3 mieszkania + poddasze|1499087.2|361.4|7||secondary|1|0|2000.0|0.0|Dom wolnostojący|1.0|4148.0|1|1|0| źródło marii|wielki kack|gdynia|54.467664|18.492842
141 m2 w Gdyni Śródmieście ul. Świętojańska|1593300.0|141.0|7|3.0|secondary|1|0|1930.0|0.0|Mieszkanie|1.0|11300.0|1|0|0| świętojańska|śródmieście|gdynia|54.5198415|18.538188
Sopot kamienny Potok - dom 600 m2!|449400.0|600.0|12||secondary|1|0|1975.0|1.0|Dom bliźniak|1.0|749.0|1|0|0| kujawska|kamienny potok|sopot|54.458461|18.547551
Kamienna góra 2 pokoje 55m w samym centrum|698995.0|55.0|2|4.0|secondary|0|0|1928.0|1.0|Mieszkanie|1.0|12709.0|0|0|0| józefa bema|kamienna góra|gdynia|54.509803|18.540579
Mieszkanie na sprzedaż, Gdańsk, Orunia Dolna, 2 pokoje, 50 mkw, za 489000 zł|489000.0|50.0|2|2.0|secondary|0|0|1900.0|1.0|Mieszkanie|0.0|9780.0|0|0|0| sandomierska|orunia-św. wojciech-lipce|gdansk|54.323903|18.632939
Mieszkanie - Gdynia Śródmieście|897625.0|71.81|2|2.0|secondary|1|1|1932.0|1.0|Mieszkanie|1.0|12500.0|0|0|0| kilińskiego jana|śródmieście|gdynia|54.5198415|18.538188
Nowoczesny SMART dom na działce 1600 m2!|2589990.0|290.0|5||secondary|1|0|2016.0|0.0|Dom wolnostojący|1.0|8931.0|1|1|0| kazimierza małkowskiego|chwarzno-wiczlino|gdynia|54.483189|18.412573
Kompaktowe 3 pokoje w  G. Wrzeszcz, z wyposażeniem|559018.5|43.5|3|1.0|secondary|0|0|1929.0|0.0|Mieszkanie|0.0|12851.0|0|0|0| żywiecka|wrzeszcz|gdansk|54.381786|18.606236
Mieszkanie - Sopot Dolny|1219991.9|77.9|4|6.0|secondary|1|1|1970.0|1.0|Mieszkanie|1.0|15661.0|1|0|0| bitwy pod płowcami|karlikowo|sopot|54.433864|18.58015
Nowe 3 Pokojowe Mieszkanie Nowe Budownictwo|609008.64|51.16|3|1.0|secondary|0|0|2023.0|0.0|Mieszkanie|0.0|11904.0|0|0|0| hokejowa|ujeścisko-łostowice|gdansk|54.31911|18.591801
Przestronne, wygodne mieszkanie w Górnym Sopocie|2599954.5|117.3|4|1.0|secondary|0|0|1910.0|1.0|Mieszkanie|1.0|22165.0|0|0|0| gen. władysława andersa|górny sopot|sopot|54.440668|18.55594
Pięknie wykończone 3 pokoje nieopodal plaży|1013999.01|64.23|3|1.0|secondary|1|0|2022.0|0.0|Mieszkanie|0.0|15787.0|1|0|0| starowiejska|letnica|gdansk|54.394982|18.646767
Słoneczny apartament w prestiżowej lokalizacji!|2289981.6|105.9|4|2.0|secondary|1|0|2004.0|0.0|Mieszkanie|0.0|21624.0|0|0|0| zbigniewa herberta|górny sopot|sopot|54.440976|18.545546
Mieszkanie inwestycyjne z opcją lokalu usługowego|57894.66|35.54|2|0.0|secondary|1|0|1960.0|1.0|Mieszkanie|1.0|1629.0|0|0|0| świętego piotra|śródmieście|gdynia|54.524781|18.545343
3 mieszkania - 218m2 - Benisławskiego - Gdynia|1149950.0|218.0|8|1.0|secondary|0|0|1997.0|0.0|Mieszkanie|0.0|5275.0|0|0|0| benisławskiego|obłuże|gdynia|54.552186|18.508622
Spokojne  centrum Gdyni   15 min spacerem do plaży|768968.0|76.0|3|3.0|secondary|1|0|1932.0|1.0|Mieszkanie|1.0|10118.0|0|0|0| bernarda chrzanowskiego|śródmieście|gdynia|54.528796|18.542842
Okazja! Nowe 3 pokoje taniej niż u dewelopera!|50989.91|52.73|3|2.0|secondary|0|0|2023.0|0.0|Mieszkanie|0.0|967.0|0|0|0| władysława jagiełły|orunia-św. wojciech-lipce|gdansk|54.302663|18.615512
3-pokojowe mieszkanie 600 m od plaży Brzeźno, 2 balkony!|879958.38|76.98|3|4.0|secondary|0|0|1980.0|0.0|Mieszkanie|0.0|11431.0|0|0|0| gdańska|brzeźno|gdansk|54.402928|18.631912
Narożne mieszkanie, 10 minut od morza|558972.15|61.15|2|2.0|secondary|0|0|1906.0|0.0|Mieszkanie|1.0|9141.0|0|0|0| strajku dokerów|nowy port|gdansk|54.401528|18.66328
Mieszkanie w prężnie rozwijającej się dzielnicy Ko|549999.84|46.39|3|4.0|secondary|1|1|2022.0|0.0|Mieszkanie|0.0|11856.0|1|0|0| glazurowa|ujeścisko-łostowice|gdansk|54.307707|18.563921
Mieszkanie z potencjałem inwestycyjnym.|720040.0|94.0|4|2.0|secondary|0|0|1970.0|0.0|Mieszkanie|0.0|7660.0|1|0|0| adm. j. unruga|obłuże|gdynia|54.553725|18.498056
Balkon, winda, hala garażowa|1020002.28|68.84|3|0.0|secondary|1|1|2023.0|0.0|Mieszkanie|0.0|14817.0|0|1|0| powstańców warszawskich|siedlce|gdansk|54.358662|18.624713
Tylko 10 minutowy spacer dzieli Cię od plaży|1600020.0|60.0|3|2.0|secondary|1|1|2021.0|0.0|Mieszkanie|0.0|26667.0|0|0|0| nadmorski dwór|brzeźno|gdansk|54.406914|18.621243
Przytulne mieszkanie dla rodziny|898973.0|83.0|4|3.0|secondary|1|0|2022.0|0.0|Mieszkanie|0.0|10831.0|1|0|0| niepołomicka|ujeścisko-łostowice|gdansk|54.31911|18.591801
Gdynia Chylonia- świetna lokalizacja, przytulne.|354983.19999999995|42.8|2|1.0|secondary|0|0|1978.0|0.0|Mieszkanie|0.0|8294.0|0|0|0| chylońska|cisowa|gdynia|54.545155|18.460712
Willa w Górnym Sopocie|589920.0|480.0|8||secondary|1|0|1990.0|0.0|Dom wolnostojący|1.0|1229.0|1|1|0| antoniego abrahama|górny sopot|sopot|54.439724|18.551149
Mieszkanie - Gdańsk Suchanino|729984.0|64.0|4|4.0|secondary|1|0|1975.0|1.0|Mieszkanie|1.0|11406.0|1|0|0| powstańców warszawskich|suchanino|gdansk|54.358662|18.624713
Apartament w zacisznym otoczeniu Dolnego Sopotu|2500013.5|120.5|4|1.0|secondary|1|1|2003.0|1.0|Mieszkanie|0.0|20747.0|1|0|0| władysława łokietka|karlikowo|sopot|54.433407|18.579679
Mieszkanie - Gdańsk Siedlce|1050033.0|83.0|3|1.0|secondary|1|0|1930.0|1.0|Mieszkanie|1.0|12651.0|0|0|0| wyczółkowskiego leona|siedlce|gdansk|54.261532|18.667519
Loftowy Apartament z balkonem|274021.0|11.0|2|3.0|secondary|1|0|1903.0|0.0|Mieszkanie|1.0|24911.0|1|0|0| kazimierza wielkiego|dolny sopot|sopot|54.439343|18.570605
Dochodowe mieszkanie inwestycyjne nad Motławą|573995.7000000001|25.05|1|5.0|secondary|1|1|2020.0|1.0|Mieszkanie|0.0|22914.0|1|0|0| sienna grobla|śródmieście|gdansk|54.356946|18.667037
Znakomita inwestycja w centrum Gdynii|1490000.0|100.0|4|2.0|secondary|0|0|1928.0|0.0|Mieszkanie|0.0|14900.0|0|0|0| starowiejska|śródmieście|gdynia|54.5198415|18.538188
Czteropokojowe mieszkanie z balkonem blisko lasu|2136751.0|94.13|4|1.0|secondary|1|1|2018.0|0.0|Mieszkanie|0.0|22700.0|1|0|0| strzelców|mały kack|gdynia|54.475281|18.504812
Komfortowy dom ze strefą SPA w Gdyni|2570000.0|250.0|6||secondary|1|0|2000.0|0.0|Dom wolnostojący|0.0|10280.0|0|0|0| null|karwiny|gdynia|54.472093|18.496298
Świetna przestrzeń po remoncie, 10 minut od plaży|1419300.0|50.0|2|2.0|secondary|0|0|1950.0|1.0|Mieszkanie|1.0|28386.0|0|0|0| króla jana kazimierza|karlikowo|sopot|54.434487|18.567244
Mieszkanie - Gdynia Wiczlino|1098960.0|95.0|3|3.0|secondary|0|1|2018.0|0.0|Mieszkanie|0.0|11568.0|0|0|0| czesława niemena|chwarzno-wiczlino|gdynia|54.501015|18.436921
Mieszkanie, Gdynia Dąbrowa|666999.6|78.6|4|3.0|secondary|0|0|2006.0|0.0|Mieszkanie|0.0|8486.0|1|0|0| poziomkowa|dąbrowa|gdynia|52.424399|20.86423
Mieszkanie na sprzedaż, Gdańsk, Kowale, 3 pokoje, 70 mkw, za 719000 zł|718970.0|70.0|3|0.0|secondary|0|0|2000.0|1.0|Mieszkanie|0.0|10271.0|0|0|1| heliosa|ujeścisko-łostowice|gdansk|54.308552|18.569203
Mieszkanie - Gdynia Wielki Kack|668012.0|53.0|2|2.0|secondary|1|1|2012.0|1.0|Mieszkanie|1.0|12604.0|1|0|0| ks. siega|wielki kack|gdynia|54.467664|18.492842
Sprzedam Apartament Sopot|1689993.0|57.0|3|1.0|secondary|0|0|1950.0|0.0|Mieszkanie|0.0|29649.0|0|0|0| chopina|dolny sopot|sopot|54.4409635|18.561271
Mieszkanie - Sopot Dolny|289729.0|11.0|2|3.0|secondary|1|0|1903.0|1.0|Mieszkanie|1.0|26339.0|1|0|0| kazimierza wielkiego|dolny sopot|sopot|54.439343|18.570605
Mieszkanie - Gdynia Wzgórze Św. Maksymiliana|223047.0|9.0|3|3.0|secondary|1|1|2008.0|1.0|Mieszkanie|1.0|24783.0|1|0|0| wyspiańskiego stanisława|wzgórze św. maksymiliana|gdynia|54.50296|18.542419
Nowe urządzone 2 pokoje w wysokim standardzie|579013.0|37.0|2|0.0|secondary|0|0|2023.0|0.0|Mieszkanie|0.0|15649.0|0|0|0| hokejowa|ujeścisko-łostowice|gdansk|54.31911|18.591801
Zamieszkaj jako pierwszy w dobrej lokalizacji.|54.0|54.0|3|2.0|secondary|1|1|2022.0|1.0|Mieszkanie|0.0|1.0|1|0|0| ofiar grudnia '70|ujeścisko-łostowice|gdansk|54.307375|18.582355
Mieszkanie - Sopot Górny|540000.0|40.0|2|3.0|secondary|1|0|1920.0|1.0|Mieszkanie|1.0|13500.0|0|0|0| wybickiego józefa|górny sopot|sopot|54.4409635|18.561271
Wyspa Sobieszewska 2 wykończone apartamenty|2040033.24|113.31|6|0.0|secondary|1|0|2015.0|0.0|Mieszkanie|0.0|18004.0|1|1|0| forsycji|wyspa sobieszewska|gdansk|54.355051|18.82563
Mieszkanie na sprzedaż, Gdańsk, Łostowice, 4 pokoje, 73,46 mkw, za 687000 zł|68685.09999999999|73.46|4|1.0|secondary|1|0|2023.0|1.0|Mieszkanie|0.0|935.0|1|0|0| null|ujeścisko-łostowice|gdansk|54.31911|18.591801
Tarasy Janki Bryla   Bez PCC! Faktura VAT!|124878.6|90.1|4|3.0|secondary|1|1|2024.0|1.0|Mieszkanie|0.0|1386.0|0|0|0| janki bryla|chwarzno-wiczlino|gdynia|54.49358|18.442439
3 Pokoje z 3 Miejscami w Hali Garażowej!|699000.0|62.5|3|1.0|secondary|1|1|2012.0|0.0|Mieszkanie|0.0|11184.0|0|0|0| piotrkowska|ujeścisko-łostowice|gdansk|54.333711|18.591182
Mieszkanie w Sopocie, blisko plaży!!!|974969.1|53.1|2|2.0|secondary|1|0|1920.0|0.0|Mieszkanie|1.0|18361.0|1|1|0| bitwy pod płowcami|karlikowo|sopot|54.433864|18.58015
Sea Towers, taras, hala, komórka|2274984.0|76.0|3|2.0|secondary|0|0|2009.0|0.0|Mieszkanie|0.0|29934.0|0|0|0| null|śródmieście|gdynia|54.5198415|18.538188
Dwa pokoje -centrum Gdyni- czeka na Ciebie!|528019.4|44.6|2|3.0|secondary|0|0|1960.0|1.0|Mieszkanie|1.0|11839.0|0|0|0| śląska|działki leśne|gdynia|54.514401|18.53274
Nowoczesne kameralne osiedle na skraju lasu|2806555.2300000004|146.61|5|2.0|secondary|0|1|2024.0|0.0|Mieszkanie|0.0|19143.0|1|0|0| wzgórze bernadowo|mały kack|gdynia|54.468501|18.513716
Portova 3-pokoje 86m2,  2 x hala balkon komórka|2554979.46|86.46|3|2.0|secondary|1|1|2020.0|1.0|Mieszkanie|0.0|29551.0|0|0|0| węglowa|śródmieście|gdynia|54.5198415|18.538188
Gdańsk Maćkowy 3 pokoje, balkon, winda|668967.68|69.28|3|2.0|secondary|0|0|2015.0|1.0|Mieszkanie|1.0|9656.0|1|0|0| kazimierza wielkiego|orunia-św. wojciech-lipce|gdansk|54.30079|18.611999
Centrum 3 pokoje 63 m2, osobna kuchnia, piwnica|85387.94|63.58|3|2.0|secondary|0|0|1953.0|1.0|Mieszkanie|1.0|1343.0|0|0|0| świętojańska|śródmieście|gdynia|54.5198415|18.538188
Fenomenalny apartament w Sopocie Dolnym!|289729.0|11.0|2|3.0|secondary|1|0|1903.0|1.0|Mieszkanie|1.0|26339.0|0|0|0| kazimierza wielkiego|dolny sopot|sopot|54.439343|18.570605
Atrakcyjna nieruchomość z ogródkiem - Ujeścisko!|649725.1|50.3|3|0.0|secondary|1|0|2016.0|1.0|Mieszkanie|0.0|12917.0|0|1|0| stanisława dąbka|ujeścisko-łostowice|gdansk|54.320789|18.587607
Dom  na sprzedaż, Gdańsk, Stogi, Ugory, 3 pokoje, 60 mkw, działka 225 mkw, za 350000 zł|349980.0|60.0|3|0.0|secondary|0|0|2022.0|0.0|Dom wolnostojący|0.0|5833.0|0|0|1| ugory|stogi|gdansk|54.361101|18.712824
Na sprzedaż udział w nieruchomości.|394992.0|48.0|3|1.0|secondary|0|0|1980.0|0.0|Mieszkanie|1.0|8229.0|1|1|0| leszczynki|leszczynki|gdynia|54.528925|18.482921
Mieszkanie - Gdynia Wielki Kack|750009.9999999999|71.6|4|1.0|secondary|1|0|1999.0|1.0|Mieszkanie|0.0|10475.0|1|0|0| lipowa|wielki kack|gdynia|54.467664|18.492842
2-pok. mieszkanie w Sopocie blisko lasu|588649.8|34.6|2|3.0|secondary|1|0|1965.0|1.0|Mieszkanie|1.0|17013.0|0|0|0| jacka malczewskiego|kamienny potok|sopot|54.457637|18.55226
Dom z widokiem na panoramę Gdyni i morze|147520.0|20.0|6||secondary|1|0|1989.0|0.0|Dom bliźniak|1.0|7376.0|0|1|0| trocka|mały kack|gdynia|54.475194|18.520538
Mieszkanie idealne pod każdym względem !!!|5090.47|42.07|2|3.0|secondary|0|0|2005.0|1.0|Mieszkanie|0.0|121.0|1|0|0| konstantego bergiela|ujeścisko-łostowice|gdansk|54.31758|18.58245
Przestronne, dwupoziomowe mieszkanie w Gd Jasień|799000.2000000001|99.9|4|4.0|secondary|0|0|1994.0|1.0|Mieszkanie|1.0|7998.0|1|0|0| rycerza blizbora|jasień|gdansk|54.340044|18.562996
Mieszkanie 3-pokojowe, ogród 608 m2 i garaż!|1098944.8|78.8|3|0.0|secondary|0|0|1932.0|0.0|Mieszkanie|0.0|13946.0|0|0|0| leona wyczółkowskiego|siedlce|gdansk|54.353591|18.626091
Mieszkanie Gdynia Chwarzno-Wiczlino, osiedle Fort Forest|949998.61|67.63|3|3.0|secondary|1|1|2022.0|1.0|Mieszkanie|0.0|14047.0|1|0|0| czesława niemena|chwarzno-wiczlino|gdynia|54.502532|18.457566
Sopot Sopot Dolny 42 m2|69476.0|4.0|2|0.0|secondary|0|0|1973.0|1.0|Mieszkanie|1.0|17369.0|1|0|0| okrzei|dolny sopot|sopot|54.4409635|18.561271
Winda, taras, zieleń, ogrodzone osiedle|1150012.91|70.67|3|1.0|secondary|1|1|2018.0|1.0|Mieszkanie|0.0|16273.0|1|0|0| miętowa|dąbrowa|gdynia|54.473506|18.45435
Dom w sercu Gdańska - Twoja najlepsza inwestycja|2499000.0|280.0|10||secondary|0|0|1988.0|0.0|Dom bliźniak|1.0|8925.0|1|1|0| ludwika beethovena|suchanino|gdansk|54.355997|18.607495
Apartament inwestycyjny w sercu Dolnego Sopotu|3749940.0|180.0|6|1.0|secondary|0|0|1905.0|0.0|Mieszkanie|1.0|20833.0|1|0|0| władysława jagiełły|dolny sopot|sopot|54.442054|18.564659
Komfortowe 3-pokojowe 73 m2, balkon 21 m2|1133982.36|73.64|3|4.0|secondary|1|1|2017.0|0.0|Mieszkanie|0.0|15399.0|1|0|0| lawendowe wzgórze|jasień|gdansk|54.327865|18.563606
Dom  na sprzedaż, Gdańsk, Wrzeszcz, 14 pokoi, 278 mkw, działka  mkw, za 3990000 zł|398930.0|278.0|14|0.0|secondary|1|0|1970.0|0.0|Dom wolnostojący|0.0|1435.0|1|0|0| null|wrzeszcz|gdansk|54.381786|18.606236
Przytulne i jasne rozkładowe mieszkanie w centrum|798971.2|60.4|3|3.0|secondary|0|0|1901.0|1.0|Mieszkanie|1.0|13228.0|0|0|0| zielona|śródmieście|gdansk|54.351229|18.64977
Dom  na sprzedaż, Gdańsk, Jasień, 5 pokoi, 160 mkw, działka 485 mkw, za 585000 zł|584960.0|160.0|5|0.0|secondary|1|0|2005.0|0.0|Dom wolnostojący|1.0|3656.0|0|0|0| null|jasień|gdansk|54.340089|18.560014
Dom  na sprzedaż, Gdańsk, Stogi, Budzysza, 2 pokoje, 72 mkw, działka 395 mkw, za 230000 zł|22358.0|7.0|2|0.0|secondary|1|0|2018.0|0.0|Dom wolnostojący|0.0|3194.0|0|0|1| budzysza|stogi|gdansk|54.373462|18.729718
Dwupiętrowe mieszkanie z klimatyzacją! Nie czekaj!|707812.5|75.5|3|3.0|secondary|0|0|2017.0|0.0|Mieszkanie|0.0|9375.0|0|0|0| niepołomicka|ujeścisko-łostowice|gdansk|54.31911|18.591801
Duże mieszkanie, Ogród i Garaż w Sercu Gdańska|1098944.5|116.5|3|0.0|secondary|1|0|1932.0|0.0|Mieszkanie|1.0|9433.0|0|0|0| leona wyczółkowskiego|siedlce|gdansk|54.353591|18.626091
Przytulny dom bliźniak   Sopot|2350041.0|107.0|3||secondary|1|0|1937.0|0.0|Dom bliźniak|1.0|21963.0|0|1|0| junaków|kamienny potok|sopot|54.456164|18.547934
Stylowe dwupokojowe wnętrze w sercu Kurortu|1895319.0|81.0|2|1.0|secondary|1|0|1920.0|1.0|Mieszkanie|1.0|23399.0|0|0|0| fryderyka chopina|dolny sopot|sopot|54.441563|18.567486
Nowe wykończone 2 pokoje   Perspektywa Eurostyl|129987.95|70.15|3|3.0|secondary|1|1|2022.0|1.0|Mieszkanie|0.0|1853.0|1|0|0| powstańców warszawskich|siedlce|gdansk|54.358662|18.624713
Niezwykły Apartament w wysokim standardzie z sauną|2599531.2|114.8|4|2.0|secondary|0|0|1903.0|0.0|Mieszkanie|1.0|22644.0|1|0|0| władysława iv|dolny sopot|sopot|54.436622|18.567932
Apartament gotowy do wydania Perspektywa|174976.69999999998|96.94|4|2.0|secondary|1|1|2022.0|1.0|Mieszkanie|0.0|1805.0|1|0|0| powstańców warszawskich|siedlce|gdansk|54.358662|18.624713
Piękne wnętrze w willowym otoczeniu Dolnego Sopotu|2599531.2|114.8|4|2.0|secondary|0|0|1903.0|0.0|Mieszkanie|1.0|22644.0|1|0|0| władysława iv|dolny sopot|sopot|54.436622|18.567932
Inwestycja do odbioru od zaraz|671136.0|69.91|3|0.0|secondary|1|1|2022.0|0.0|Mieszkanie|1.0|9600.0|1|0|0| nike|osowa|gdansk|54.430298|18.470018
Apartament Studio w sercu Starego Miasta!|882517.9999999999|37.3|1|3.0|secondary|1|1|2012.0|0.0|Mieszkanie|0.0|23660.0|1|0|0| szeroka|śródmieście|gdansk|54.351277|18.653681
Gdańsk- 4 pok. (88,4 mkw.), na ul. Słowackiego!|1249003.6|88.4|4|2.0|secondary|0|0|2009.0|0.0|Mieszkanie|0.0|14129.0|1|0|0| juliusza słowackiego|matarnia|gdansk|54.386336|18.437805
