area|number_of_rooms|floor|type_of_market|parking|elevator|year_of_creation|internet|type_of_building|basement|price_for_m2_in_PLN|balcony|garden|terrace|street|district|city|latitude|longtitude|city_district
46.0|2.0|0|primary|1|1|2024.0|0.0|Apartment|1.0|12900.0|0|0|1|nowodworcowa|wielki kack|gdynia|54.467664|18.492842|gdynia_wielki kack
58.67|3.0|1-3|secondary|1|1|2010.0|0.0|Apartment|1.0|12936.76|1|0|0|myśliwskie wzgórze/os. klimaty|piecki-migowo|gdansk|54.348106|18.562501|gdansk_piecki-migowo
50.5|3.0|0|secondary|0|0|2002.0|1.0|Apartment|0.0|12851.49|0|0|0|władysława kańskiego|chwarzno-wiczlino|gdynia|54.490386|18.423491|gdynia_chwarzno-wiczlino
54.0|3.0|0|secondary|0|0|1965.0|1.0|Apartment|1.0|13888.89|0|0|0|piastowska|przymorze|gdansk|54.354195|18.650385|gdansk_przymorze
98.45|3.0|1-3|secondary|0|0|2005.0|0.0|Apartment|0.0|12188.93|0|0|0|waleriana szefki|wielki kack|gdynia|54.465869|18.486889|gdynia_wielki kack
52.25|3.0|4-7|secondary|1|0|1976.0|1.0|Apartment|1.0|12421.05|1|0|0|juliusza słowackiego|wrzeszcz górny|gdansk|54.381217|18.59427|gdansk_wrzeszcz górny
45.0|2.0|1-3|secondary|1|0|1970.0|1.0|Apartment|1.0|13977.78|1|0|0|chłopska|przymorze|gdansk|54.354195|18.650385|gdansk_przymorze
78.71|3.0|4-7|secondary|1|1|2018.0|0.0|Apartment|0.0|27709.31|1|0|0|ignacego krasickiego|brzeźno|gdansk|54.254613|18.635465|gdansk_brzeźno
55.31|3.0|0|primary|1|1|2025.0|1.0|Apartment|0.0|9797.5|0|1|1||orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
49.71|3.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|9683.91|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
30.0|1.0|1-3|secondary|1|1|2024.0|1.0|Apartment|0.0|12666.67|1|0|0|czereśniowa|ujeścisko-łostowice|gdansk|54.31911|18.591801|gdansk_ujeścisko-łostowice
40.11|2.0|1-3|secondary|1|1|2020.0|0.0|Apartment|0.0|19945.15|1|0|0|sienna grobla|śródmieście|gdansk|54.356946|18.667037|gdansk_śródmieście
40.06|2.0|0|secondary|0|1|2023.0|0.0|Apartment|0.0|14952.57|0|1|1|ignacego paderewskiego|wzgórze św. maksymiliana|gdynia|54.505362|18.552347|gdynia_wzgórze św. maksymiliana
67.0|3.0|1-3|secondary|1|0|2000.0|1.0|Apartment|1.0|9537.31|1|0|0|gen. leopolda okulickiego|orunia górna - gdańsk południe|gdansk|54.104377|18.770011|gdansk_orunia górna - gdańsk południe
60.6|3.0|1-3|secondary|0|0|1984.0|1.0|Apartment|0.0|10231.02|1|0|0|kolonia zręby|siedlce|gdansk|54.35115|18.60586|gdansk_siedlce
63.5|3.0|1-3|secondary|0|0|1991.0|0.0|Apartment|1.0|9118.11|1|0|0|zamiejska|chełm|gdansk|54.333519|18.628732|gdansk_chełm
87.45|3.0|1-3|primary|0|1|2024.0|0.0|Apartment|0.0|8141.8|1|0|0||kokoszki|gdansk|54.354766|18.491171|gdansk_kokoszki
52.19|2.0|1-3|secondary|1|1|2006.0|1.0|Apartment|0.0|13795.77|1|0|0||wzgórze św. maksymiliana|gdynia|54.50296|18.542419|gdynia_wzgórze św. maksymiliana
83.0|2.0|1-3|secondary|0|1|2014.0|0.0|Apartment|0.0|23493.98|0|0|0||przymorze|gdansk|54.354195|18.650385|gdansk_przymorze
76.01|4.0|1-3|secondary|0|0|2002.0|1.0|Apartment|1.0|10511.77|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
69.95|3.0|0|secondary|1|1|2019.0|0.0|Apartment|1.0|23588.28|0|1|1|sadowa|śródmieście|gdansk|54.344251|18.669081|gdansk_śródmieście
53.33|3.0|1-3|primary|1|1|2023.0|0.0|Apartment|1.0|11900.0|1|0|0|koperkowa|dąbrowa|gdynia|54.476685|18.4647|gdynia_dąbrowa
40.0|2.0|1-3|secondary|0|0|1950.0|0.0|Apartment|0.0|16475.0|0|0|0|łagiewniki|śródmieście|gdansk|54.357906|18.650396|gdansk_śródmieście
80.5|4.0|0|secondary|0|1|2012.0|0.0|Apartment|0.0|18633.54|0|0|0|antoniego słonimskiego|wrzeszcz górny|gdansk|54.383986|18.590556|gdansk_wrzeszcz górny
46.0|3.0|4-7|secondary|0|1|1985.0|1.0|Apartment|1.0|12152.17|1|0|0|swarzewska|chylonia|gdynia|54.537917|18.463613|gdynia_chylonia
47.57|2.0|1-3|primary|0|1|2026.0|0.0|Apartment|0.0|16200.0|1|0|0|aleja gen. józefa hallera|wrzeszcz dolny|gdansk|54.392372|18.622213|gdansk_wrzeszcz dolny
36.9|2.0|8+|secondary|0|1|1971.0|0.0|Apartment|0.0|16775.07|1|0|0|pomorska|żabianka-wejhera-jelitkowo-tysiąclecia|gdansk|54.420659|18.571526|gdansk_żabianka-wejhera-jelitkowo-tysiąclecia
43.0|2.0|1-3|primary|1|1|2023.0|1.0|Apartment|0.0|15325.58|1|0|1|bernarda filarskiego|letnica|gdansk|54.401382|18.651679|gdansk_letnica
83.0|2.0|1-3|secondary|1|1|2014.0|1.0|Apartment|0.0|23493.98|1|0|0|czarny dwór|przymorze|gdansk|54.407909|18.610113|gdansk_przymorze
29.68|1.0|0|primary|1|1|2024.0|1.0|Apartment|0.0|15154.14|0|1|1||śródmieście|gdansk|54.34902|18.6518|gdansk_śródmieście
56.5|3.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|9050.44|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
64.57|3.0|1-3|primary|0|1|2026.0|0.0|Apartment|0.0|14633.99|1|0|0|aleja gen. józefa hallera|wrzeszcz dolny|gdansk|54.392372|18.622213|gdansk_wrzeszcz dolny
29.0|2.0|4-7|secondary|0|0|1963.0|1.0|Apartment|1.0|15689.66|1|0|0|chłopska|przymorze|gdansk|52.929098|10.527323|gdansk_przymorze
41.08|2.0|1-3|secondary|1|1|2022.0|1.0|Apartment|0.0|13875.37|1|0|0|niepołomicka|ujeścisko-łostowice|gdansk|54.31911|18.591801|gdansk_ujeścisko-łostowice
63.5|2.0|4-7|secondary|0|0|1992.0|1.0|Apartment|1.0|10393.7|1|0|1|zamiejska|chełm|gdansk|54.333519|18.628732|gdansk_chełm
67.78|3.0|0|primary|1|1|2024.0|1.0|Apartment|1.0|13499.56|1|1|1|góralska|mały kack|gdynia|54.483536|18.530812|gdynia_mały kack
71.0|3.0|8+|secondary|1|1|2020.0|0.0|Apartment|0.0|28873.24|1|0|0||śródmieście|gdynia|54.5198415|18.538188|gdynia_śródmieście
31.31|1.0|0|secondary|1|1|2021.0|0.0|Apartment|0.0|14340.47|0|1|0|eugeniusza węgrzyna|jasień|gdansk|54.340089|18.560014|gdansk_jasień
38.8|2.0|0|primary|1|1|2024.0|1.0|Apartment|0.0|10207.47|0|1|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
40.78|2.0|0|secondary|0|1|2010.0|1.0|Apartment|0.0|12972.05|0|1|0|jabłoniowa|jasień|gdansk|54.340089|18.560014|gdansk_jasień
35.67|2.0|4-7|primary|1|1|2023.0|0.0|Apartment|0.0|12230.98|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
63.58|3.0|1-3|secondary|0|0|1953.0|1.0|Apartment|1.0|13431.9|0|0|0|świętojańska|śródmieście|gdynia|54.5198415|18.538188|gdynia_śródmieście
75.65|3.0|1-3|secondary|0|0|1932.0|1.0|Apartment|1.0|11830.8|0|0|0|bernarda chrzanowskiego|śródmieście|gdynia|54.528796|18.542842|gdynia_śródmieście
76.06|3.0|4-7|secondary|1|1|2020.0|1.0|Apartment|0.0|28254.01|1|0|0|węglowa|śródmieście|gdynia|54.5198415|18.538188|gdynia_śródmieście
48.23|2.0|1-3|primary|0|1|2023.0|1.0|Apartment|0.0|15104.71|1|0|0|starowiejska 79|letnica|gdansk|54.400365|18.648891|gdansk_letnica
47.6|2.0|1-3|secondary|1|1|2021.0|1.0|Apartment|0.0|27310.92|1|0|0|władysława iv|śródmieście|gdynia|54.51567|18.538271|gdynia_śródmieście
104.23|3.0|4-7|secondary|1|1|2012.0|1.0|Apartment|0.0|15254.73|1|0|1|chwarznieńska|witomino|gdynia|54.498498|18.509001|gdynia_witomino
97.36|3.0|1-3|secondary|1|1|2015.0|0.0|Apartment|0.0|29786.36|1|0|0|świętojańska|śródmieście|gdynia|54.5198415|18.538188|gdynia_śródmieście
37.0|2.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|10405.14|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
79.78|4.0|0|secondary|1|1|2019.0|0.0|Apartment|0.0|14665.33|0|1|1|chylońska|cisowa|gdynia|54.548571|18.443583|gdynia_cisowa
30.0|1.0|4-7|secondary|0|0|2021.0|1.0|Apartment|0.0|18966.67|0|0|0|wałowa|śródmieście|gdansk|54.3463466|18.6662024|gdansk_śródmieście
71.6|4.0|1-3|secondary|0|0|1999.0|1.0|Apartment|0.0|10474.86|1|0|0|lipowa|wielki kack|gdynia|54.467664|18.492842|gdynia_wielki kack
122.0|5.0|1-3|primary|1|0|2015.0|0.0|House|0.0|8900.0|1|1|0||chwarzno-wiczlino|gdynia|54.490386|18.423491|gdynia_chwarzno-wiczlino
48.0|2.0|1-3|secondary|1|1|2023.0|1.0|Apartment|0.0|30000.0|1|0|0|stara stocznia|śródmieście|gdansk|54.355462|18.661959|gdansk_śródmieście
70.0|3.0|1-3|secondary|0|1|2015.0|1.0|Apartment|0.0|27142.86|1|0|0|zygmunta augusta|śródmieście|gdynia|54.520471|18.540307|gdynia_śródmieście
85.0|3.0|1-3|secondary|1|1|2012.0|1.0|Apartment|0.0|15882.35|1|0|1|taborowa|suchanino|gdansk|54.355805|18.607162|gdansk_suchanino
71.8|2.0|1-3|secondary|0|0|1936.0|1.0|Apartment|1.0|11977.72|1|0|0|arendta dickmana|oksywie|gdynia|54.554204|18.547169|gdynia_oksywie
86.0|3.0|1-3|secondary|1|0|2010.0|1.0|Apartment|0.0|13837.21|1|0|0|leśna|mały kack|gdynia|54.468913|18.519745|gdynia_mały kack
52.76|3.0|1-3|secondary|1|0|2022.0|0.0|Apartment|0.0|9097.8|1|0|0|hokejowa|orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
83.0|4.0|1-3|secondary|1|0|2022.0|0.0|Apartment|0.0|10831.33|1|0|0|niepołomicka|ujeścisko-łostowice|gdansk|54.31911|18.591801|gdansk_ujeścisko-łostowice
85.16|3.0|0|secondary|1|0|2021.0|0.0|Apartment|0.0|16499.0|0|1|1|gen. władysława andersa|jasień|gdansk|54.351884|18.549576|gdansk_jasień
47.3|2.0|1-3|secondary|1|1|2015.0|1.0|Apartment|1.0|13107.82|1|0|1|płocka|ujeścisko-łostowice|gdansk|54.31911|18.591801|gdansk_ujeścisko-łostowice
87.0|4.0|1-3|secondary|0|0|1910.0|0.0|Apartment|0.0|19287.36|0|0|0|zajęcze wzgórze|górny sopot|sopot|54.4409635|18.561271|sopot_górny sopot
83.0|3.0|1-3|secondary|1|1|2020.0|0.0|Apartment|0.0|28313.25|0|0|0||śródmieście|gdansk|54.34902|18.6518|gdansk_śródmieście
98.4|4.0|1-3|secondary|1|1|2016.0|1.0|Apartment|0.0|22347.56|1|0|0|karola szymanowskiego|strzyża|gdansk|54.384105|18.588644|gdansk_strzyża
90.84|3.0|1-3|secondary|1|1|2023.0|0.0|Apartment|1.0|22567.15|1|0|0|jana z kolna|śródmieście|gdynia|54.523261|18.536777|gdynia_śródmieście
53.51|2.0|1-3|secondary|0|0|1966.0|0.0|Apartment|0.0|9437.49|0|0|0||stogi|gdansk|54.373462|18.729718|gdansk_stogi
68.19|1.0|1-3|primary|0|0|2020.0|0.0|Apartment|0.0|22500.0|0|0|0|chmielna|śródmieście|gdansk|54.346105|18.656253|gdansk_śródmieście
59.98|2.0|1-3|secondary|0|0|2020.0|0.0|Apartment|0.0|8002.67|1|0|0|niepołomicka|orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
45.0|2.0|1-3|secondary|0|0|1975.0|0.0|Apartment|1.0|12200.0|1|0|0||orunia-św. wojciech-lipce|gdansk|54.15552|18.652661|gdansk_orunia-św. wojciech-lipce
55.57|3.0|1-3|secondary|0|1|2017.0|0.0|Apartment|0.0|13658.45|0|0|0|gen. mariusza zaruskiego|chwarzno-wiczlino|gdynia|52.222328|21.047597|gdynia_chwarzno-wiczlino
92.0|5.0|1-3|secondary|1|1|2022.0|0.0|Apartment|0.0|11684.78|0|0|0||oksywie|gdynia|54.543019|18.536056|gdynia_oksywie
69.0|3.0|1-3|secondary|1|0|1997.0|0.0|Apartment|1.0|10507.25|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
95.5|4.0|1-3|secondary|1|0|2008.0|0.0|Apartment|0.0|9623.04|0|0|0||osowa|gdansk|54.430298|18.470018|gdansk_osowa
57.31|3.0|0|primary|1|1|2024.0|1.0|Apartment|0.0|9299.69|0|1|0||ujeścisko-łostowice|gdansk|54.31911|18.591801|gdansk_ujeścisko-łostowice
55.73|3.0|0|secondary|0|0|1986.0|0.0|Apartment|1.0|12542.62|1|1|1|janiny porazińskiej|karwiny|gdynia|54.472093|18.496298|gdynia_karwiny
129.0|4.0|1-3|secondary|0|0|1930.0|0.0|Apartment|1.0|12325.58|0|0|0|górka|śródmieście|gdansk|54.34974|18.639844|gdansk_śródmieście
42.0|2.0|1-3|secondary|1|1|2024.0|1.0|Apartment|0.0|9718.26|1|0|0|borkowska|orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
53.27|3.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|9533.41|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
64.0|3.0|8+|secondary|0|1|1980.0|0.0|Apartment|1.0|10921.88|1|0|0|orańska|piecki-migowo|gdansk|54.355949|18.580481|gdansk_piecki-migowo
71.0|4.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|9366.41|1|0|0||jasień|gdansk|54.340089|18.560014|gdansk_jasień
62.8|4.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|8899.68|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
37.0|2.0|1-3|secondary|1|0|2022.0|0.0|Apartment|0.0|13918.92|1|0|0|franciszka sokoła|chwarzno-wiczlino|gdynia|54.490386|18.423491|gdynia_chwarzno-wiczlino
48.76|3.0|4-7|secondary|1|1|1978.0|1.0|Apartment|1.0|12264.15|1|0|1|owsiana|cisowa|gdynia|54.548571|18.443583|gdynia_cisowa
84.3|3.0|1-3|secondary|0|1|1998.0|1.0|Apartment|1.0|8659.54|1|0|0||leszczynki|gdynia|54.528925|18.482921|gdynia_leszczynki
56.5|3.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|9049.56|1|0|0||ujeścisko-łostowice|gdansk|54.31911|18.591801|gdansk_ujeścisko-łostowice
50.8|3.0|0|primary|1|1|2024.0|1.0|Apartment|0.0|9458.66|0|1|1||orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
