|title|district|latitude|longitude|area|number_of_rooms|year_of_creation|price_for_m2_in_PLN|type_of_building|garage|balcony|internet|parking|elevator|floor|terrace|basement|garden|type_of_market
68|Energooszczędne Mieszkanie 75m2 - 4 pokoje|Gdańsk|54.372781|18.628385|75|4|2024|5320|Mieszkanie|0|0|0|0|0|Parter|0|0|0|secondary
69|Morena 30 m sprzedam|Gdańsk Morena, Hausbrandta|54.34773575|18.584768542581777|30|1|2018|18500|Mieszkanie|1|0|0|0|0|Parter|0|0|0|secondary
70|Piękne mieszkanie na zamkniętym osiedlu z patio!|Gdańsk pogórze, Stefana Czarnieckiego 16|51.8488642|19.4289196|66.6|3|2016|11997|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
71|Mieszkanie - Gdańsk Wrzeszcz|Gdańsk Wrzeszcz, Saperów|54.3820132|18.617361312590006|85.6|3|1920|18680|Mieszkanie|0|0|0|1|0|1|0|1|1|secondary
72|Mieszkanie - Gdańsk Zaspa|Gdańsk Zaspa, Pilotów|54.3913564|18.5923145|56.3|3|1980|13304|Mieszkanie|0|0|0|0|0|8|0|0|0|secondary
73|Mieszkanie - Gdańsk Morena|Gdańsk Morena, Stanisława Lema|54.349464499999996|18.588641739056754|39.01|2|2018|16637|Mieszkanie|0|1|0|1|1|2|0|0|0|secondary
74|Mieszkanie 2-pok. Gdańsk Chełm. Piękne, zadbane. Wyśmienita lokalizacja|Gdańsk Ujeścisko, Rogalińska|54.378291|18.487005|55.3|2|2005|12116|Mieszkanie|0|1|0|1|0|3|0|1|0|secondary
75|Łostowice, kawalerka w wysokim standardzie|Gdańsk Łostowice, Niepołomicka|54.31742615|18.593106398457195|33.69|1|2020|12615|Mieszkanie|0|0|0|1|1|Parter|0|0|1|secondary
76|Nowy apartament w świetnej lokalizacji, 600m do morza, wysoki standard|Gdańsk Brzeźno|54.40475435|18.64439597343098|38.63|2|2023|27958|Mieszkanie|0|0|0|1|1|1|1|0|0|secondary
77|Mieszkanie 3-pokojowe z widokiem na morze|Gdańsk Żabianka, Chłopska 65|54.4197921|18.5835104|61.7|3|2010|186|Mieszkanie|0|0|0|0|0|7|0|0|0|secondary
78|Mieszkanie w centrum Gdańska na Starym Mieście ul.Rajska|Gdańsk Śródmieście, Rajska|54.3562719|18.6486725|20|1|1960|27000|Mieszkanie|0|0|1|0|0|1|0|0|0|secondary
79|Słoneczne, 2 pokojowe mieszkanie z balkonem|Gdynia Chylonia, Młyńska|51.663037|19.451419|44.29|2|1972|991|Mieszkanie|0|1|0|1|0|2|0|1|0|secondary
80|Nietuzinkowy apartament z widokiem na las i zatokę|Gdynia Witomino, Chwarznieńska|54.4989129|18.5052618|104.23|3|2012|14967|Mieszkanie|1|1|0|0|1|6|0|0|0|secondary
