title|price[PLN]|area[m^2]|rooms|floor|market|parking|elevator|build year|internet|building_type|basement|price_per_m2|balkon|ogródek|taras|street|district|city
"""Klucze do szczęścia - Twoje wymarzone mieszkanie"|540000.0|43.9|2|3|secondary|1|0|1969.0|1.0|Mieszkanie|1.0|12300.68|1|0|0|Kartuska 45-59|Chylonia|Gdynia
"Ogrody Diany |Hery 7/38"|530000.0|47.25|2|0|primary|1|1|2025.0|1.0|Mieszkanie|1.0|11216.93|0|1|0|ul. Diany|Osowa|Gdańsk
Widna kuchnia_dwie łazienki_duży balkon_widokowe|544945.0|59.24|4|1|primary|1|1|2024.0|1.0|Mieszkanie|0.0|9198.94|1|0|0|null|Orunia Górna - Gdańsk Południe|Gdańsk
Narożne_słoneczne_szybki odbiór_wc i łazienka|498153.0|51.71|3|3|primary|1|1|2024.0|1.0|Mieszkanie|0.0|9633.59|1|0|0|ul. Starogardzka|Orunia Górna - Gdańsk Południe|Gdańsk
1-pokojowe mieszkanie 33m2 + ogródek Bez Prowizji|399900.0|33.41|1|0||1|0|||||11969.47|0|1|0|ul. Władysława Czermińskiego|Jasień|Gdańsk
lokal INWESTYCYJNIE >30m2 cenaBrutto ODLICZ VAT23%|542299.0|37.21|2|2|primary|1|1||0.0|Mieszkanie|0.0|14574.01|1|0|0|null|Śródmieście|Gdańsk
4-pokojowe mieszkanie 74m2 + ogródek Bezpośrednio|853384.0|74.56|4|0||1|0|||||11445.6|0|1|1|Starowiejska/ul. Sucha|Letnica|Gdańsk
ENERGOOSZCZĘDNE Mieszkanie 90 m2,|389000.0|90.0|4|0|primary|0|0||0.0|wolnostojący|0.0|4322.22|0|0|0|null|Orunia-Św. Wojciech-Lipce|Gdańsk
5-pokojowe mieszkanie 86m2 + balkon Bezpośrednio|1216611.0|86.67|5|1||1|0|||||14037.28|1|0|0|ul. Jaśkowa Dolina 85|Wrzeszcz Górny|Gdańsk
4-pokojowe mieszkanie 76m2 + balkon|1033977.0|76.89|4|4||1|0|||||13447.48|1|0|0|ul. Jaśkowa Dolina 85|Wrzeszcz Górny|Gdańsk
3-pokojowe mieszkanie 52m2 + balkon Bezpośrednio|831032.0|52.97|3|4||1|0|||||15688.73|1|0|0|ul. Jaśkowa Dolina 85|Wrzeszcz Górny|Gdańsk
2-pokojowe mieszkanie 62m2 + balkon Bez Prowizji|1006673.0|62.86|2|3||1|0|||||16014.52|1|0|0|ul. Jaśkowa Dolina 85|Wrzeszcz Górny|Gdańsk
Mieszkanie - Gdańsk Zaspa|668000.0|48.2|2|2|secondary|0|1|1970.0|0.0|Mieszkanie|0.0|13858.92|1|0|0|ul. Kombatantów|Zaspa-Rozstaje|Gdańsk
17teOstatniePiętroWidokNaZatokęGdańskąBezpośrednio|899100.0|48.6|2|> 10|primary|1|1|2024.0|1.0|Mieszkanie|1.0|18500.0|1|0|0|null|Letnica|Gdańsk
Przestronne, dwupoziomowe mieszkanie|890000.0|89.92|4|3|secondary|0|0|2001.0|1.0|Mieszkanie|1.0|9897.69|1|0|0|ul. Oliwkowa|Dąbrowa|Gdynia
Mieszkanie - Gdańsk Morena|539000.0|42.0|2|0|secondary|0|0|1975.0|0.0|Mieszkanie|1.0|12833.33|1|0|0|ul. Karola Kurpińskiego|Suchanino|Gdańsk
NAJTAŃSZE oferty na rynku 12min od Gdańsk Główny|366050.0|33.0|2|0|primary|1|1|2024.0|1.0|Mieszkanie|0.0|11092.42|0|1|1|null|Orunia Górna - Gdańsk Południe|Gdańsk
NOWOŚĆ,GdańskOsowa 3pok.budynek energooszczędnyM49|573000.0|46.17|3|3|primary|1|1|2025.0|1.0|Mieszkanie|1.0|12410.66|1|0|0|ul. Kielnieńska|Osowa|Gdańsk
NIE przegap ofert PROMOCYJNYCH_nowa PKM_bus_lidl|480500.0|50.8|3|0|primary|1|1|2024.0|1.0|Mieszkanie|0.0|9458.66|0|1|1|null|Orunia Górna - Gdańsk Południe|Gdańsk
ODBIERZ 3pok_M.Postojowe za 0 zł +DOD bonus 26+27|521600.0|54.35|3|1|primary|1|1|2024.0|1.0|Mieszkanie|0.0|9597.06|1|0|0|null|Orunia Górna - Gdańsk Południe|Gdańsk
395 270 Netto_5min Wyspa Spichrzów_+BONUS 26-27.04|486185.0|30.9|2|0|primary|1|1|2024.0|1.0|Mieszkanie|0.0|15734.14|0|1|1|null|Śródmieście|Gdańsk
Stylowy Apartament/studio/Gotowiec Inwestycyjny|569000.0|30.0|1|4|secondary|0|0|2021.0|1.0|Mieszkanie|0.0|18966.67|0|0|0|ul. Wałowa|Śródmieście|Gdańsk
Browar Gdański apartament dwupokojowy|1100000.0|43.92|2|3|secondary|1|0|2018.0|0.0|Mieszkanie|1.0|25045.54|1|0|0|ul. Joachima Lelewela|Wrzeszcz Dolny|Gdańsk
lokal INWESTYCYJNIE >25m2 cenaBrutto ODLICZ VAT23%|480186.0|30.9|2|2|primary|1|1||0.0|Mieszkanie|0.0|15540.0|1|0|0|null|Śródmieście|Gdańsk
3 pokojowe Mieszkanie Gdynia ul.Nowodworcowa|638435.0|53.65|3|0|primary|1|1|2024.0|0.0|Mieszkanie|0.0|11900.0|0|1|1|ul. Nowodworcowa|Wielki Kack|Gdynia
2pok. Mieszkanie Gdynia WielkiKack ul.Nowodworcowa|593400.0|46.0|2|0|primary|1|1|2024.0|0.0|Mieszkanie|1.0|12900.0|0|0|1|ul. Nowodworcowa|Wielki Kack|Gdynia
Quercus - B2.127|460925.0|39.0|2|5|primary|0|1|2025.0|0.0||0.0|11818.59|0|0|0|ul. Wielkopolska|Ujeścisko-Łostowice|Gdańsk
Quercus - B2.74|473285.0|44.0|2|1|primary|0|1|2025.0|0.0||0.0|10756.48|0|0|0|ul. Wielkopolska|Ujeścisko-Łostowice|Gdańsk
Piękne 3 pokoje Gdynia Mały Kack - Astoria II.|1615000.0|75.0|3|1|secondary|1|0||0.0||0.0|21533.33|1|0|0|ul. Strzelców|Mały Kack|Gdynia
4-pokojowe mieszkanie 93m2 + balkon Bezpośrednio|936577.0|93.28|4|1||1|0|||||10040.49|1|0|0|ul. Janki Bryla|Wiczlino|Gdynia
3 pokoje na Morenie/blisko centrum/blisko lasu|759000.0|58.67|3|1|secondary|1|1|2010.0|0.0|Mieszkanie|1.0|12936.76|1|0|0|ul. Myśliwskie Wzgórze/os. Klimaty|Piecki-Migowo|Gdańsk
2-pokojowe mieszkanie 83m2 + taras Bez Prowizji|1928819.0|83.61|2|3||1|0|||||23069.24|0|0|1|ul. Jałmużnicza|Śródmieście|Gdańsk
1-pokojowe mieszkanie 88m2 Bezpośrednio|1988898.0|88.84|1|0||1|0|||||22387.42|0|0|0|ul. Jałmużnicza|Śródmieście|Gdańsk
3 pokoje po generalnym remoncie - 2 ogródki !!!|649000.0|50.5|3|0|secondary|0|0|2002.0|1.0|Mieszkanie|0.0|12851.49|0|0|0|ul. Władysława Kańskiego|Wiczlino|Gdynia
Gdańsk Piastowska piękne 3-pokojowe po remoncie|750000.0|54.0|3|0|secondary|0|0|1965.0|1.0|Mieszkanie|1.0|13888.89|0|0|0|ul. Piastowska|Przymorze Wielkie|Gdańsk
"Mieszkanie z ładnym widokiem | Wielki Kack"|1200000.0|98.45|3|1|secondary|0|0|2005.0|0.0||0.0|12188.93|0|0|0|ul. Waleriana Szefki|Wielki Kack|Gdynia
Gdańsk- 3 pok. 52,52 mkw, ul. Słowackiego|649000.0|52.25|3|4|secondary|1|0|1976.0|1.0|Mieszkanie|1.0|12421.05|1|0|0|ul. Juliusza Słowackiego|Wrzeszcz Górny|Gdańsk
4-pokojowe mieszkanie 65m2 + ogródek Bezpośrednio|819900.0|65.57|4|0||1|0|||||12504.19|0|1|1|ul. Zakole|Stogi|Gdańsk
2-pokojowe mieszkanie 32m2 + balkon|529900.0|32.68|2|2||1|0|||||16214.81|1|0|0|ul. Zakole|Stogi|Gdańsk
2-pokojowe mieszkanie 42m2 + balkon|524000.0|42.67|2|2||1|0|||||12280.29|1|0|0|ul. Kampinoska|Ujeścisko-Łostowice|Gdańsk
2 pokoje/ Przymorze/ przy Parku Reagana|629000.0|45.0|2|3|secondary|1|0|1970.0|1.0|Mieszkanie|1.0|13977.78|1|0|0|ul. Chłopska|Przymorze Wielkie|Gdańsk
"Apartament nadmorski - ""Nadmorze"" Invest Komfort"|2181000.0|78.71|3|4|secondary|1|1|2018.0|0.0|Mieszkanie|0.0|27709.31|1|0|0|ul. Ignacego Krasickiego|Brzeźno|Gdańsk
120m własnego ogródka_Słoneczne Płd-Zach.|541900.0|55.31|3|0|primary|1|1|2025.0|1.0|Mieszkanie|0.0|9797.5|0|1|1|null|Orunia Górna - Gdańsk Południe|Gdańsk
Ładny widok_najtaniejj w okolicy_6,5km od centrum|481387.0|49.71|3|2|primary|1|1|2024.0|1.0|Mieszkanie|0.0|9683.91|1|0|0|null|Orunia Górna - Gdańsk Południe|Gdańsk
Prestiżowe osiedle/ Kawalerka/ Spokojna okolica|380000.0|30.0|1|3|secondary|1|1|2024.0|1.0|Mieszkanie|0.0|12666.67|1|0|0|ul. Czereśniowa|Ujeścisko-Łostowice|Gdańsk
Apartament Nad Motławą wysoki standard|800000.0|40.11|2|1|secondary|1|1|2020.0|0.0|Mieszkanie|0.0|19945.15|1|0|0|ul. Sienna Grobla|Śródmieście|Gdańsk
Mieszkanie z ogródkiem - wysoki standard|599000.0|40.06|2|0|secondary|0|1|2023.0|0.0|Mieszkanie|0.0|14952.57|0|1|1|ul. Ignacego Paderewskiego|Wzgórze Św. Maksymiliana|Gdynia
2-pokojowe mieszkanie 31m2 + ogródek|380000.0|31.08|2|0||1|0|||||12226.51|0|1|0|ul. Lubowidzka|Jasień|Gdańsk
"3 pokoje | Słoneczne | Oddzielna kuchnia | Balkon"|639000.0|67.0|3|1|secondary|1|0|2000.0|1.0|Mieszkanie|1.0|9537.31|1|0|0|ul. gen. Leopolda Okulickiego|Orunia Górna - Gdańsk Południe|Gdańsk
