|title|district|area|number_of_rooms|year_of_creation|price_for_m2_in_PLN|type_of_building|garage|balcony|internet|parking|elevator|floor|terrace|basement|garden|type_of_market
123|Żabianka - mieszkanie 4 pokojowe z potencjałem!|Gdańsk Żabianka, Pomorska|66.7|4|1974|12504|Mieszkanie|0|0|0|1|1|4|0|1|0|secondary
124|Piękne mieszkanie w kamienicy we Wrzeszczu!|Gdańsk Wrzeszcz, Grunwaldzka|74.09|3|1910|16993|Mieszkanie|1|0|0|1|0|Parter|0|1|1|secondary
125|Mieszkanie z poddaszem w pięknej kamienicy|Gdańsk Aniołki, Dębinki|60.78|3|1920|14956|Mieszkanie|0|0|0|1|0|3|0|0|0|secondary
126|Wyspa Spichrzów-mieszkanie z bardzo dużym balkonem|Gdańsk Śródmieście, Chmielna|36.34|1|2024|24000|Mieszkanie|0|1|0|0|1|1|0|0|0|secondary
127|Spółdzielczo własnościowe 3 pokoje na Witominie|Gdynia Witomino, Konwaliowa|53.9|3|1970|10019|Mieszkanie|0|1|1|0|0|4|0|1|0|secondary
128|Gotowy biznes Wrzeszcz Górny 4 Pokoje|Gdańsk Wrzeszcz, Do Studzienki|83|4|2012|1554|Mieszkanie|0|0|1|0|1|Parter|0|0|0|secondary
129|Dom z ogrodem i gabinetem, spokój w centrum miasta|Gdynia Wzgórze św. Maksymiliana, Gen. Józefa Hallera|294|7|1990|10884|Dom wolnostojący|1|1|0|1|0|nan|0|1|1|secondary
130|Świetne 4 pokoje  pod lasem dla rodziny|Gdynia Dąbrowa, Rdestowa|81.9|4|2003|9035|Mieszkanie|0|1|1|0|0|3|0|0|0|secondary
131|3 pokoje Sopot Monte Casino|Sopot Dolny Sopot, Bohaterów Monte Cassino|100|3|1906|25000|Mieszkanie|0|0|0|1|0|1|0|0|0|secondary
132|Apartament z Widokiem na Motławe !|Gdańsk Stare Przedmieście, Lastadia|90|3|2006|21667|Mieszkanie|0|0|1|1|1|4|0|0|0|secondary
133|Mieszkanie 4-pokojowe na granicy Sopotu i Gdyni!|Gdynia Orłowo, Bernadowska|103.13|4|2005|2230|Mieszkanie|0|0|0|1|0|Parter|0|0|0|secondary
134|Sopot, po remoncie, inwestycja, garaż|Sopot Górny Sopot, Ignacego Krasickiego|70.9|3|1963|12680|Mieszkanie|1|0|0|1|0|Parter|0|0|1|secondary
135|Dom wolnostojący blisko centrum gdańska|Gdańsk Chełm, Władysława Biegańskiego|159.4|6|1988|10540|Dom wolnostojący|1|0|0|1|0|nan|0|1|1|secondary
136|3-pokoje w kamienicy po generalnym remoncie|Gdańsk Śródmieście, Sukiennicza|77|3|1907|16221|Mieszkanie|0|0|0|0|0|2|0|1|0|secondary
137|!! dom pod inwestycje !! kwatery pracownicze !!|Gdynia Pogórze, Kadmowa|160|6|1990|6181|Dom wolnostojący|0|0|0|0|0|nan|0|0|0|secondary
138|Ogród 201m2 w centrum Sopotu!   Balkon 4.5m2|Sopot Górny Sopot, Daniela Chodowieckiego|40.69|2|1930|17179|Mieszkanie|0|1|1|0|0|1|0|1|1|secondary
139|2 pokoje we Wrzeszczu w super lokalizacji!|Gdańsk Wrzeszcz, Aleja Grunwaldzka|44.54|2|1960|13920|Mieszkanie|0|1|0|0|0|1|0|1|0|secondary
140|4 ustawne pokoje na kameralnym, nowym osiedlu|Gdańsk Łostowice, Niepołomicka|71.99|4|2021|11515|Mieszkanie|0|1|0|1|0|2|0|1|0|secondary
141|Blisko morza   Świetna lokalizacja   Inwestycyjnie|Gdańsk Przymorze, Piastowska|22.49|2|1970|22188|Mieszkanie|0|0|0|0|0|4|0|1|0|secondary
142|Klimatyczne mieszkanie w doskonałej lokalizacji!|Gdańsk Strzyża, Kornela Makuszyńskiego|54.6|2|1990|1280|Mieszkanie|0|1|1|0|0|4|0|1|0|secondary
143|Klimatyczne mieszkanie w zabytkowej kamienicy|Gdańsk Dolne Miasto, Przyokopowa|45|2|1901|18867|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary
144|Balkon   Widok na morze  Top lokalizacja   Parking|Gdynia Wzgórze św. Maksymiliana, Legionów|52.63|3|1970|13661|Mieszkanie|0|1|0|1|1|4|0|1|0|secondary
145|Jedyne takie 3-pokojowe mieszkanie,kameralny OGRÓD|Gdynia Wiczlino, Janki Bryla|64.29|3|2017|12988|Mieszkanie|0|0|0|1|1|Parter|0|0|1|secondary
146|Centrum Wrzeszcza - kawalerka|Gdańsk Wrzeszcz, Grunwaldzka|35|1|1960|16714|Mieszkanie|0|1|0|0|0|2|0|0|0|secondary
147|2 pokoje po remoncie vii dwór|Gdańsk VII Dwór, Józefa Chełmońskiego|42.|2|1979|15758|Mieszkanie|0|0|1|0|0|Parter|0|1|0|secondary
148|Bliźniak /wysoki standard /zamknięte osiedle|Gdańsk Maćkowy, Aliny Pienkowskiej|250|5|2010|7996|Dom bliźniak|1|0|1|1|0|nan|0|1|1|secondary
149|Najlepsza lokalizacja w Gdańsku!|Gdańsk Strzyża, Stanisława Moniuszki|68|2|2000|13235|Mieszkanie|0|0|0|1|1|3|0|0|0|secondary
150|Trzy pokoje dla twojej rodziny.|Gdańsk Morena, Myśliwska|55.7|3|2019|14165|Mieszkanie|0|1|0|1|1|2|0|0|0|secondary
