title|district|area|number_of_rooms|year_of_creation|price_for_m2_in_PLN|type_of_building|garage|balcony|internet|parking|elevator|floor|terrace|basement|garden|type_of_market|street|city|overall_price
Przytulne 3-pokojowe mieszkanie - bez pośredników|Wielki Kack|73.64|3|1996|12887.0|Mieszkanie|0|1|1|1|0|3|0|1|0|secondary| Damroki 8|gdynia|948998.68
Luksusowy apartament z widokiem na Starówkę|Śródmieście|84.0|3|2023|34155.0|Mieszkanie|1|1|1|1|1|6|0|0|0|secondary| Stara Stocznia|gdansk|2869020.0
Stara Oliwa w otulinie lasu. Piękne miejsce.|Oliwa|69.0|3|1900|16493.0|Mieszkanie|0|1|0|1|0|2|0|1|1|secondary| Podhalańska|gdansk|1138017.0
2 pokoje   5 min tramwaj   morena / jasień|Jasień|45.5|2|2011|13846.0|Mieszkanie|0|1|1|1|1|1|0|1|0|secondary| Kartuska|gdansk|629993.0
3 pokoje   Miejsce Parkingowe   6min do tramwaju|Jasień|59.0|3|2016|11993.0|Mieszkanie|0|1|1|1|1|3|0|1|0|secondary| Lawendowe Wzgórze|gdansk|707587.0
Idealne do Zamieszkania lub na Inwestycję|Śródmieście|44.0|2|1950|18159.0|Mieszkanie|1|0|0|0|0|1|0|0|0|secondary| Kołodziejska|gdansk|798996.0
Dzień otwarty - 13.05 - poniedziałek|Chylonia|38.0|2|1974|10969.0|Mieszkanie|0|1|0|0|1|6|0|0|0|secondary| Morska|gdynia|416822.0
Wyjątkowe mieszkanie z duszą czeka na nowych bohaterów!|Zakoniczyn|70.8|3|2004|10975.0|Mieszkanie|0|1|1|0|0|1|0|0|0|secondary| Porębskiego|gdansk|777030.0
Mieszkanie 4 pokojowe (100m2) - przy plaży. Gdańsk Letnica|Letnica|100.0|4|2023|14500.0|Mieszkanie|0|1|1|1|1|5|0|0|0|secondary| Starowiejska 81|gdansk|1450000.0
Mieszkanie 70m2 + duża piwnica na sprzedaż|Wrzeszcz|70.0|3|1950|10541.0|Mieszkanie|0|0|1|0|0|0|0|1|0|secondary| Hallera|gdansk|737870.0
Ponadczasowy apartament z widokiem na morze w Gdyni przy Bulwarze|Wzgórze św. Maksymiliana|89.68|3|2015|23918.0|Mieszkanie|0|0|0|1|1|2|1|0|0|secondary| Norwida|gdynia|2144966.24
4pok. w cenie 3pok. /balkon/siłownia/hala garażowa|Łostowice|6.0|4|2022|1048.0|Mieszkanie|1|0|0|0|1|2|0|0|0|secondary| Pastelowa|gdansk|6288.0
2 pokoje   Widok na morze   Niski czynsz|Zaspa|27.0|2|1980|1685.0|Mieszkanie|0|0|0|0|1|11|0|0|0|secondary| Pilotów|gdansk|45495.0
Prywatne 63 m/3 pok wysoki standard 2020 taras 2 miejsca postojowe|Osowa|63.0|3|2020|13794.0|Mieszkanie|0|0|1|1|1|0|1|1|1|secondary| null|gdansk|869022.0
Gotowe mieszkanie blisko plaży|Stogi|38.0|2|1974|15500.0|Mieszkanie|0|0|0|0|0|4|0|0|0|secondary| Stryjewskiego 31|gdansk|589000.0
Piękny widok /zieleń /miejsce parkingowe i komórka lokatorska|Zakoniczyn|68.5|3|2005|10073.0|Mieszkanie|0|1|1|1|0|3|0|0|0|secondary| Kazimierza Porębskiego|gdansk|690000.5
Przymorze. Spóldzielcze - własnościowe. Słoneczne.|Przymorze|45.0|2|1971|14333.0|Mieszkanie|0|0|1|1|0|4|0|1|0|secondary| Chłopska|gdansk|644985.0
Mieszkanie 5 pokojowe, Wrzeszcz ul. Politechniczna|Wrzeszcz|82.17|5|1910|9127.0|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary| Politechniczna 16A|gdansk|749965.59
4 pok + poddasze Super Lokalizacja|Ujeścisko|72.98|5|1992|11633.0|Mieszkanie|0|1|1|1|0|2|0|1|0|secondary| Kaliska|gdansk|848976.3400000001
50 m2, Gdańsk, z umeblowaniem i wyposażeniem|Jasień|49.8|3|2013|11948.0|Mieszkanie|0|1|1|0|0|2|0|0|0|secondary| Potęgowska 6|gdansk|595010.4
Zaprojektuj swój dom*Garaż 44m2*Ogród*mieszkania|Aniołki|206.0|6|1936|8981.0|Dom bliźniak|0|0|0|0|0||0|0|0|secondary| Płowce|gdansk|1850086.0
Sprzedam mieszkanie 3 pokojowe|Młyniska|55.6|3|1982|10773.0|Mieszkanie|0|1|1|0|1|5|0|1|0|secondary| Marynarki Polskiej|gdansk|598978.8
Zabytkowa stodoła z 1814 r przebudowana na dom - Gdańsk Kiełpino Górne|Kiełpino Górne|210.0|5|2023|10900.0|Dom bliźniak|1|0|1|0|0||0|0|1|secondary| Goplańska 40A|gdansk|2289000.0
Apartament w Sopocie - 120m od plaży|Dolny Sopot|87.5|4|1906|37714.0|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary| Poniatowskiego 2|sopot|3299975.0
Dom Gdańsk Matarnia (os. Klukowo)|Matarnia - Rębiechowo|160.0|4|2008|11250.0|Dom wolnostojący|1|0|1|0|0||1|0|1|secondary| null|gdansk|1800000.0
Gdańsk Śródmieście . 4 pok . 138 m2|Biskupia Górka|138.6|4|1935|10815.0|Mieszkanie|0|0|0|0|0|3|0|1|0|secondary| Na Stoku|gdansk|1498959.0
Wielki Kack 5 pokoi widok na Park Krajobrazowy|Wielki Kack|164.0|5|2018|11890.0|Mieszkanie|1|1|0|1|0|1|0|0|0|secondary| Bieszczadzka|gdynia|1949960.0
Nieruchomość w samym centrum Dolnego Sopotu|Dolny Sopot|59.8|3|1905|19548.0|Mieszkanie|0|0|0|1|0|3|0|1|0|secondary| Grunwaldzka|sopot|1168970.4
Apartament 4 pokoje Cadena Park hala taras|Mały Kack|98.0|4|2004|12235.0|Mieszkanie|0|1|1|1|0|2|0|0|0|secondary| Parkowa|gdynia|1199030.0
3 pokoje w stanie deweloperskim Łostowice|Wielkopolska|59.19|3|2023|10120.0|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary| null|gdansk|599002.7999999999
Gdańsk, Czereśniowa, 3 pokoje, Nowe, Wykończone|Ujeścisko|53.0|3|2024|14151.0|Mieszkanie|0|0|0|0|0|0|0|0|0|secondary| Czereśniowa|gdansk|750003.0
2 pok. z parkingiem i widokiem na wodę|Stare Przedmieście|57.8|2|1954|12439.0|Mieszkanie|0|0|0|1|0|1|0|1|0|secondary| Żabi Kruk|gdansk|718974.2
Blisko morza, bez PCC|Letnica|69.0|3|2023|1594.0|Mieszkanie|0|1|0|1|1|2|0|0|0|secondary| Starowiejska|gdansk|109986.0
Blisko SKM/Jasne mieszkanie w świetnej lokalizacji|Chylonia|45.73|2|1973|9075.0|Mieszkanie|0|1|0|0|0|3|0|1|0|secondary| Świecka|gdynia|414999.75
⭐3pok OldTown Stare Przedmieście Spółdzielcze|Stare Przedmieście|49.85|3|1967|1398.0|Mieszkanie|0|1|1|1|0|3|0|1|0|secondary| Kocurki 1|gdansk|69690.3
Apartament w sercu Gdańska!|Stare Przedmieście|45.33|2|2017|21818.0|Mieszkanie|0|1|0|1|1|5|0|0|0|secondary| Chmielna|gdansk|989009.94
Gdynia Wzgórze Św. Maksymiliana-mieszkanie 2 pok.|Wzgórze św. Maksymiliana|33.0|2|1952|16818.0|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary| Elizy Orzeszkowej|gdynia|554994.0
Gdańsk Oliwa, Apartament trzypokojowy / Spa|Oliwa|93.0|3|2022|23980.0|Mieszkanie|0|0|1|1|1|2|0|0|1|secondary| Opacka|gdansk|2230140.0
2 pokoje/duży balkon/miejsce postojowe/Wielki Kack|Wielki Kack|62.7|2|2012|10651.0|Mieszkanie|0|1|1|1|1|2|0|0|0|secondary| null|gdynia|667817.7000000001
Gdańsk u. Stolema, 3 pokoje|Jasień|56.46|3|2016|12841.0|Mieszkanie|0|1|1|1|1|3|0|0|0|secondary| null|gdansk|725002.86
Spectrum 3 pokoje! Gdańsk Przymorze!|Przymorze|62.51|3|2018|28779.0|Mieszkanie|0|1|1|1|1|1|0|0|0|secondary| Obrońców Wybrzeża|gdansk|1798975.29
Trzy pokoje, Gdańsk Wrzeszcz ul. Mickiewicza|Wrzeszcz|59.1|3|1953|12183.0|Mieszkanie|0|0|1|0|0|2|0|1|0|secondary| Adama Mickiewicza|gdansk|720015.3
Dom - Wrzeszcz/Morena|Wrzeszcz|167.0|5|1985|10778.0|Dom wolnostojący|1|1|0|1|0||0|1|1|secondary| Migowska|gdansk|1799926.0
Kawalerka   Parter   Ogródek   Do negocjacji|Brodwino|30.0|1|1978|14967.0|Mieszkanie|0|0|1|1|1|0|0|1|0|secondary| Oskara Kolberga|sopot|449010.0
Jasne, przestronne, po remoncie Sopot Wyścigi - bez pośrednika !|Wyścigi / Karlikowo|60.53|2|1942|13646.0|Mieszkanie|0|0|0|0|0|0|0|0|0|secondary| al. Niepodległości 653|sopot|825992.38
Gdańsk, ul. Nieborowska, Mieszkanie 87,06m2|Chełm|87.06|4|2008|10671.0|Mieszkanie|0|1|1|0|0|3|0|0|0|secondary| Nieborowska 34|gdansk|929017.26
Sopot 2-pokojowe sprzedam|null|36.0|2|1975|18194.0|Mieszkanie|0|0|0|0|0|5|0|0|0|secondary| Niepodległości 708|sopot|654984.0
Mieszkanie - Gdańsk Jasień|Jasień|75.93|4|1993|8561.0|Mieszkanie|0|1|1|1|0|3|0|1|0|secondary| null|gdansk|650036.7300000001
Mieszkanie - Gdańsk Jasień|Jasień|43.5|2|2013|12644.0|Mieszkanie|1|1|1|1|1|4|0|1|0|secondary| null|gdansk|550014.0
Apartament nad Motławą|Stare Przedmieście|47.0|2|2017|24255.0|Mieszkanie|0|0|0|1|1|4|0|0|0|secondary| Jaglana|gdansk|1139985.0
Żabianka - mieszkanie 4 pokojowe z potencjałem!|Żabianka|66.7|4|1974|12504.0|Mieszkanie|0|0|0|1|1|4|0|1|0|secondary| Pomorska|gdansk|834016.8
Piękne mieszkanie w kamienicy we Wrzeszczu!|Wrzeszcz|74.09|3|1910|16993.0|Mieszkanie|1|0|0|1|0|0|0|1|1|secondary| Grunwaldzka|gdansk|1259011.37
Mieszkanie z poddaszem w pięknej kamienicy|Aniołki|60.78|3|1920|14956.0|Mieszkanie|0|0|0|1|0|3|0|0|0|secondary| Dębinki|gdansk|909025.68
Wyspa Spichrzów-mieszkanie z bardzo dużym balkonem|Śródmieście|36.34|1|2024|24000.0|Mieszkanie|0|1|0|0|1|1|0|0|0|secondary| Chmielna|gdansk|872160.0000000001
Spółdzielczo własnościowe 3 pokoje na Witominie|Witomino|53.9|3|1970|10019.0|Mieszkanie|0|1|1|0|0|4|0|1|0|secondary| Konwaliowa|gdynia|540024.1
Gotowy biznes Wrzeszcz Górny 4 Pokoje|Wrzeszcz|83.0|4|2012|1554.0|Mieszkanie|0|0|1|0|1|0|0|0|0|secondary| Do Studzienki|gdansk|128982.0
Dom z ogrodem i gabinetem, spokój w centrum miasta|Wzgórze św. Maksymiliana|294.0|7|1990|10884.0|Dom wolnostojący|1|1|0|1|0||0|1|1|secondary| Gen. Józefa Hallera|gdynia|3199896.0
Świetne 4 pokoje  pod lasem dla rodziny|Dąbrowa|81.9|4|2003|9035.0|Mieszkanie|0|1|1|0|0|3|0|0|0|secondary| Rdestowa|gdynia|739966.5
3 pokoje Sopot Monte Casino|Dolny Sopot|100.0|3|1906|25000.0|Mieszkanie|0|0|0|1|0|1|0|0|0|secondary| Bohaterów Monte Cassino|sopot|2500000.0
Apartament z Widokiem na Motławe !|Stare Przedmieście|90.0|3|2006|21667.0|Mieszkanie|0|0|1|1|1|4|0|0|0|secondary| Lastadia|gdansk|1950030.0
Mieszkanie 4-pokojowe na granicy Sopotu i Gdyni!|Orłowo|103.13|4|2005|2230.0|Mieszkanie|0|0|0|1|0|0|0|0|0|secondary| Bernadowska|gdynia|229979.9
Sopot, po remoncie, inwestycja, garaż|Górny Sopot|70.9|3|1963|12680.0|Mieszkanie|1|0|0|1|0|0|0|0|1|secondary| Ignacego Krasickiego|sopot|899012.0000000001
Dom wolnostojący blisko centrum gdańska|Chełm|159.4|6|1988|10540.0|Dom wolnostojący|1|0|0|1|0||0|1|1|secondary| Władysława Biegańskiego|gdansk|1680076.0
3-pokoje w kamienicy po generalnym remoncie|Śródmieście|77.0|3|1907|16221.0|Mieszkanie|0|0|0|0|0|2|0|1|0|secondary| Sukiennicza|gdansk|1249017.0
!! dom pod inwestycje !! kwatery pracownicze !!|Pogórze|160.0|6|1990|6181.0|Dom wolnostojący|0|0|0|0|0||0|0|0|secondary| Kadmowa|gdynia|988960.0
Ogród 201m2 w centrum Sopotu!   Balkon 4.5m2|Górny Sopot|40.69|2|1930|17179.0|Mieszkanie|0|1|1|0|0|1|0|1|1|secondary| Daniela Chodowieckiego|sopot|699013.51
2 pokoje we Wrzeszczu w super lokalizacji!|Wrzeszcz|44.54|2|1960|13920.0|Mieszkanie|0|1|0|0|0|1|0|1|0|secondary| Aleja Grunwaldzka|gdansk|619996.7999999999
4 ustawne pokoje na kameralnym, nowym osiedlu|Łostowice|71.99|4|2021|11515.0|Mieszkanie|0|1|0|1|0|2|0|1|0|secondary| Niepołomicka|gdansk|828964.85
Blisko morza   Świetna lokalizacja   Inwestycyjnie|Przymorze|22.49|2|1970|22188.0|Mieszkanie|0|0|0|0|0|4|0|1|0|secondary| Piastowska|gdansk|499008.11999999994
