title|address|price[PLN]|area[m^2]|rooms|floor|market|build year|parking|building_type
Apartament, ul. Sienna Grobla|Sienna Grobla, Śródmieście, Gdańsk, pomorskie|670 000 zł|35,70 m²|2|parter|wtórny|2020|w garażu podziemnym|apartamentowiec; rok budowy: 2020
Mieszkanie, ul. Kołobrzeska|Kołobrzeska, Przymorze, Gdańsk, pomorskie|890 000 zł|67 m²|3|1|wtórny|-|przynależne na ulicy|blok mieszkalny (blok z płyty)
Mieszkanie, ul. Bażyńskiego|Bażyńskiego, Oliwa, Gdańsk, pomorskie|1 279 653 zł|64,30 m²|3|parter|wtórny|2024|parking publiczny / na ulicy|rok budowy: 2024 (blok w nowym budownictwie)
Mieszkanie, ul. Jaglana|Jaglana, Wyspa Spichrzów, Gdańsk, pomorskie|798 000 zł|34,70 m²|2|5|wtórny|2017|w garażu podziemnym|rok budowy: 2017
Mieszkanie, ul. Oliwska|Oliwska, Nowy Port, Gdańsk, pomorskie|1 149 000 zł|128,10 m²|5|3|wtórny|1910|parking publiczny / na ulicy|kamienica; rok budowy: 1910
Mieszkanie, ul. Legnicka|Legnicka, Chełm, Gdańsk, pomorskie|1 008 548 zł|56,66 m²|3|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|-|parking publiczny / na ulicy|
Mieszkanie, ul. Wolności|Wolności, Nowy Port, Gdańsk, pomorskie|550 000 zł|46,81 m²|2|3|wtórny|1940|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 1940 (blok w starym budownictwie)
Mieszkanie, ul. Grubby|Grubby, Łostowice, Gdańsk, pomorskie|599 000 zł|63,94 m²|3|3|wtórny|2015|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 2015
Mieszkanie, ul. Guderskiego|Guderskiego, Jasień, Gdańsk, pomorskie|589 000 zł|51 m²|2|3|wtórny|-|tak|blok mieszkalny
Apartament Gdańsk|Wyspa Sobieszewska, Gdańsk, pomorskie|974 775 zł|45,79 m²|1|parter|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|przynależne na ulicy|apartamentowiec; rok budowy: 2024
Mieszkanie, ul. Stokłosy|Stokłosy, Kokoszki, Gdańsk, pomorskie|702 500 zł|88,67 m²|3|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|-|parking publiczny / na ulicy|
