title|address|price[PLN]|area[m^2]|rooms|floor|market|addition|parking|elevator|build year|internet|buiiding_type|basement
4-pokojowe mieszkanie 89m2 + taras Bez Prowizji|ul. Stokłosy, Kokoszki, Gdańsk, pomorskie|702500.0|89.18|4|1||taras||||||
2 APARTAMENTY W JEDNYM, zacisznie i blisko morza|ul. Małopolska, Kamienny Potok, Sopot, pomorskie|1189000.0|74.4|4|parter|wtórny|||nie||1.0|kamienica|0.0
464 750 Netto 5min Wyspa Spichrzów +BONUS 26+27.04|Śródmieście, Gdańsk, pomorskie|571690.0|36.8|2|parter|pierwotny|balkon|garaż/miejsce parkingowe|tak|2024|1.0|apartamentowiec|0.0
3-pokojowe mieszkanie 53m2 + loggia Bez Prowizji|ul. Stefana Jaracza, Młyniska, Gdańsk, pomorskie|1477704.0|53.5|3|> 10|||garaż/miejsce parkingowe|||||
2-piętrowe w okazyjnej CENIE 15min od Gdańsk Gł|Ujeścisko-Łostowice, Gdańsk, pomorskie|556700.0|69.55|4|3|pierwotny|balkon|garaż/miejsce parkingowe|tak|2024|1.0|blok|0.0
PROMOCJA do końca tygodnia_nowa PKM_15min Gd Gł|Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|511275.0|56.5|3|1|pierwotny|balkon|garaż/miejsce parkingowe|tak|2024|1.0|blok|0.0
1-pokojowe mieszkanie 79m2 + ogródek Bezpośrednio|ul. Janki Bryla, Wiczlino, Gdynia, pomorskie|791783.0|79.29|1|parter||ogródek|garaż/miejsce parkingowe|||||
3pokoje.W.Otulinie.Parku.Gdynia.MałyKack.Taras|ul. Wzgórze Bernadowo, Mały Kack, Gdynia, pomorskie|1407953.0|73.58|3|1|pierwotny|balkon|garaż/miejsce parkingowe|nie|2024|0.0||0.0
2-pokojowe mieszkanie 35m2 + ogród|ul. Starogardzka, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|385000.0|35.39|2|parter||ogródek|garaż/miejsce parkingowe|||||
3-pokojowe mieszkanie 65m2 + balkon|ul. Starogardzka, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|624000.0|65.03|3|2||balkon|garaż/miejsce parkingowe|||||
2 pokoje 10/11p ładny widok wolne od zaraz|Brodwino, Sopot, pomorskie|439000.0|30.0|2|10|wtórny|||tak|1970|1.0|blok|1.0
Piękne umeblowane mieszkanie, blisko morza|ul. Sucha 39b, Letnica, Gdańsk, pomorskie|699000.0|38.0|2|7|wtórny|balkon|garaż/miejsce parkingowe|tak|2021|0.0|blok|0.0
Gdańsk Żurawie najwyższe piętro Widok zachwycający|ul. Stefana Jaracza, Młyniska, Gdańsk, pomorskie|3500000.0|90.0|3|> 10|wtórny|balkon|garaż/miejsce parkingowe|tak||1.0|apartamentowiec|0.0
"Duży balkon | Gotowe w tym roku | Rabaty"|Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|600287.0|60.57|4|3|pierwotny|balkon|garaż/miejsce parkingowe|tak||1.0|apartamentowiec|0.0
Oaza w Mieście-Przestronne Mieszkanie z Ogrodem|ul. Leona Wyczółkowskiego, Siedlce, Gdańsk, pomorskie|1049000.0|78.8|3|parter|wtórny|ogródek|garaż/miejsce parkingowe|nie|1932|0.0|kamienica|0.0
