title|area|number_of_rooms|floor|type_of_market|parking|elevator|year_of_creation|internet|type_of_building|basement|price_for_m2_in_PLN|balcony|garden|terrace|street|district|city|latitude|longtitude
Sprzedam mieszkanie 2 pokojowe w Gdańsku-Chełmie|63.5|2.0|4-7|secondary|0|0|1992.0|1.0|Apartment|1.0|10393.7|1|0|1|zamiejska|chełm|gdansk|54.333519|18.628732
Gdynia Góralska23 3 pok. ogród gotowe do odbioru|67.78|3.0|0|primary|1|1|2024.0|1.0|Apartment|1.0|13499.56|1|1|1|góralska|mały kack|gdynia|54.483536|18.530812
Widok na morze, PORTOVA, 3 pokoje+garaż+komórka|71.0|3.0|8+|secondary|1|1|2020.0|0.0|Apartment|0.0|28873.24|1|0|0||śródmieście|gdynia|54.5198415|18.538188
Kawalerka z ogródkiem, doskonale skomunikowana!|31.31|1.0|0|secondary|1|1|2021.0|0.0|Apartment|0.0|14340.47|0|1|0|eugeniusza węgrzyna|jasień|gdansk|54.340089|18.560014
RABAT do końca tygodnia_15min od Gdańsk Główny_PKM|38.8|2.0|0|primary|1|1|2024.0|1.0|Apartment|0.0|10207.47|0|1|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Słoneczne, dwupokojowe mieszkanie z ogródkiem|40.78|2.0|0|secondary|0|1|2010.0|1.0|Apartment|0.0|12972.05|0|1|0|jabłoniowa|jasień|gdansk|54.340089|18.560014
Ostatnie mieszkanie na już!!!!!!|35.67|2.0|4-7|primary|1|1|2023.0|0.0|Apartment|0.0|12230.98|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Centrum 3 pokoje 63 m2, osobna kuchnia, piwnica|63.58|3.0|1-3|secondary|0|0|1953.0|1.0|Apartment|1.0|13431.9|0|0|0|świętojańska|śródmieście|gdynia|54.5198415|18.538188
Kamienica śródmieście 3 pokoje 75,65 m2 piwnica|75.65|3.0|1-3|secondary|0|0|1932.0|1.0|Apartment|1.0|11830.8|0|0|0|bernarda chrzanowskiego|śródmieście|gdynia|54.528796|18.542842
Portova 3 pok, balkon, 2 miejsca w hali, komórka|76.06|3.0|4-7|secondary|1|1|2020.0|1.0|Apartment|0.0|28254.01|1|0|0|węglowa|śródmieście|gdynia|54.5198415|18.538188
